Destination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,,
27,369,376,140,299,384,177,283,233,334,464,283,332,70,219,336,439,117,169,365,243,129,91,267,221,215,66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,282,549,386,252,224,401,335,253,507,326,126,395,320,115,509,427,361,234,352,157,362,232,274,284,163,298,276,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,453,669,506,423,153,521,506,413,627,122,325,555,440,211,628,587,417,394,512,328,481,314,253,444,243,417,396,294,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,597,117,261,498,721,220,278,408,73,737,599,229,312,492,157,538,346,389,547,518,304,411,588,337,488,315,373,590,668,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,461,236,171,362,512,150,156,271,167,591,411,159,196,347,184,447,249,245,411,371,207,266,443,200,342,197,228,402,523,175,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,428,343,110,362,444,156,342,293,301,523,343,392,72,279,273,499,58,229,424,303,94,151,286,281,224,77,92,334,455,344,238,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,422,637,474,392,149,489,474,382,595,162,294,523,408,180,597,555,377,363,481,297,450,283,214,412,211,386,364,254,68,637,492,423,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,418,652,489,391,87,504,470,378,611,115,290,520,424,190,612,552,464,359,477,293,465,298,265,409,234,401,379,241,91,713,507,439,84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,312,363,199,250,327,215,234,181,321,407,226,283,134,162,322,387,174,118,313,186,193,82,258,172,158,128,89,217,338,363,217,149,304,321,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,464,357,124,398,441,169,378,329,315,492,379,427,109,276,287,535,43,265,460,339,97,176,285,317,241,115,124,369,73,363,269,62,372,401,179,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,521,168,261,421,644,220,201,331,99,723,523,152,280,431,169,461,346,312,470,441,304,350,527,260,426,281,312,513,607,107,117,322,573,637,299,356,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,312,546,383,282,171,398,364,272,504,223,184,413,317,84,505,445,357,253,371,187,358,191,217,302,128,294,273,135,177,606,400,332,143,137,218,329,533,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,466,259,284,367,589,248,146,276,190,669,434,98,319,439,260,405,362,256,414,385,320,380,556,204,456,321,342,457,585,198,143,361,550,548,328,373,125,444,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,323,397,233,224,441,249,110,133,344,521,320,159,253,292,356,309,339,109,273,255,274,281,460,59,328,254,243,311,471,352,178,295,436,435,229,332,278,330,182,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1053,656,876,954,1176,835,733,863,674,1255,1055,682,997,1027,723,844,961,844,886,973,919,984,1194,792,1029,999,385,1046,1205,631,770,1043,1171,1169,932,972,693,1065,750,810,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1208,678,898,1109,1332,857,889,1019,743,1411,1210,838,949,1182,745,1000,983,1000,1042,1129,941,1048,1225,948,1124,952,1010,1201,1361,685,831,981,1327,1325,997,993,848,1220,906,966,174,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,508,199,99,409,528,52,312,318,157,608,427,317,159,363,129,495,178,292,458,387,136,283,459,247,359,162,196,418,539,212,129,175,505,522,231,188,328,417,290,267,813,872,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,236,768,605,268,188,620,484,360,719,283,316,534,511,308,728,320,552,408,374,312,553,423,456,427,390,488,467,228,306,727,590,526,299,245,412,556,653,321,599,455,1189,1375,639,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,118,698,534,198,306,550,414,289,648,400,279,463,478,338,657,250,519,337,303,216,520,390,505,357,375,456,434,238,417,656,519,493,483,362,379,523,576,376,529,384,1119,1304,569,148,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,179,697,534,197,273,549,413,289,647,366,304,462,484,301,657,239,525,337,303,241,574,417,468,356,349,458,440,236,391,675,519,499,384,329,388,529,582,320,528,384,1118,1303,568,115,91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,191,723,559,223,241,575,439,314,673,335,311,488,510,303,682,275,550,362,329,267,600,418,470,382,350,483,465,223,359,681,544,525,352,297,414,555,608,323,554,409,1144,1329,594,83,103,64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,321,749,586,354,129,601,567,475,707,196,354,616,520,287,708,405,560,456,459,389,561,394,396,505,331,497,476,248,246,809,603,535,240,185,421,532,735,261,682,537,1272,1457,620,116,233,200,168,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,395,807,625,427,162,659,625,533,765,121,444,674,578,345,766,479,561,514,632,447,619,452,397,563,389,555,534,396,204,867,661,593,229,184,479,551,793,292,263,595,1330,1515,678,189,307,274,242,107,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,273,714,550,214,415,566,430,305,664,621,332,479,512,393,673,146,555,353,191,269,590,445,560,373,430,486,468,400,571,672,535,528,537,535,417,558,598,431,544,400,974,1159,585,257,207,180,212,343,417,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,231,763,559,263,191,574,479,355,714,285,399,529,494,290,723,315,534,403,369,307,535,406,458,422,339,471,449,210,309,722,585,509,302,248,395,539,648,310,594,450,1184,1370,635,63,143,110,78,148,223,251,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,188,515,452,186,291,467,367,242,573,393,191,416,386,183,574,302,427,300,272,141,428,298,350,310,231,364,342,113,353,609,470,401,318,307,287,431,535,202,482,337,1072,1257,486,206,167,165,160,291,313,303,180,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,411,789,607,525,159,641,607,515,747,101,427,656,560,327,749,495,544,496,614,430,602,435,380,546,371,538,516,378,186,849,644,575,211,166,461,533,776,274,722,578,1312,1497,660,205,323,290,258,123,47,431,238,445,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,285,602,438,304,225,453,398,306,560,380,178,447,373,169,561,479,413,287,373,209,414,285,337,336,218,350,328,90,339,640,456,388,305,294,274,418,567,189,513,368,1103,1288,473,170,197,195,182,193,249,333,152,115,267,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,178,647,484,147,319,499,363,239,597,543,254,412,434,314,607,189,475,287,253,191,524,367,482,306,352,408,390,259,493,605,468,449,459,457,338,479,532,352,478,333,1068,1253,518,161,91,81,121,246,321,142,156,187,338,218,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,382,811,629,414,137,663,629,537,770,120,362,679,583,349,771,469,566,518,520,452,624,457,402,568,393,560,538,322,208,872,666,598,233,188,484,555,798,296,744,600,1334,1520,682,176,294,261,229,94,48,402,209,292,62,231,307,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,343,754,591,375,134,606,572,480,712,177,360,621,525,292,714,427,566,461,481,395,567,400,401,511,336,503,481,265,248,814,609,540,245,191,426,537,741,266,687,543,1277,1462,625,138,255,222,190,64,85,363,170,268,102,207,268,72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,332,643,507,279,603,522,352,273,574,683,420,387,526,454,630,92,571,328,140,356,547,503,622,329,490,528,487,473,633,582,491,546,598,597,435,576,509,492,455,356,894,1079,541,333,274,256,288,418,493,115,328,410,510,401,214,480,439,0,,,,,,,,,,,,,,,,,,,,,,,,,,
59,945,830,870,846,1068,886,625,755,761,1148,947,575,890,919,831,621,959,736,664,866,911,876,1087,684,922,891,880,938,1098,770,702,935,1063,1062,824,965,696,957,642,702,420,605,861,1076,1006,1005,1035,1159,1209,747,1072,959,1192,990,955,1222,1164,668,0,,,,,,,,,,,,,,,,,,,,,,,,,
60,953,838,878,854,1076,893,633,763,769,1155,955,582,898,927,839,629,967,744,671,873,918,884,1094,692,929,899,887,946,1106,777,710,943,1071,1069,832,973,704,965,650,710,454,639,869,1084,1014,1013,1043,1167,1217,755,1079,966,1200,998,963,1229,1172,675,63,0,,,,,,,,,,,,,,,,,,,,,,,,
61,343,589,453,225,550,468,298,219,520,629,366,333,472,400,576,37,518,274,80,302,493,429,568,275,436,474,433,419,579,528,438,492,545,543,381,522,455,438,401,303,840,1026,487,342,276,265,296,427,506,200,337,357,673,471,216,493,453,120,605,613,0,,,,,,,,,,,,,,,,,,,,,,,
62,493,378,418,394,616,434,173,303,309,696,495,123,438,467,379,273,507,284,315,413,458,424,635,232,470,439,428,486,646,271,250,483,611,610,372,513,244,505,190,250,606,791,409,624,554,553,583,707,757,399,620,507,740,538,503,770,712,302,476,484,258,0,,,,,,,,,,,,,,,,,,,,,,
63,1004,889,930,905,1128,945,685,815,821,1207,1006,634,949,978,891,681,1018,796,723,925,970,935,1146,744,981,951,939,997,1157,829,762,995,1123,1121,884,1025,755,1016,702,752,588,773,920,1136,1065,1065,1095,1218,1269,807,1131,1018,1251,1050,1014,1281,1224,727,207,190,680,546,0,,,,,,,,,,,,,,,,,,,,,
64,806,540,731,707,929,747,486,616,488,1009,808,436,751,780,558,474,820,598,516,727,772,737,948,546,783,752,741,799,959,473,564,797,925,923,686,827,434,818,503,563,424,609,591,938,867,566,897,1020,1071,600,933,820,1053,851,816,1083,1026,520,221,229,466,341,367,0,,,,,,,,,,,,,,,,,,,,
65,458,606,568,348,665,583,449,346,585,744,481,399,587,515,608,213,633,389,255,430,608,564,683,390,551,589,548,534,694,593,526,607,660,658,496,637,520,553,466,418,862,1048,603,426,380,349,381,512,586,201,422,472,603,507,321,573,533,144,577,585,205,300,600,437,0,,,,,,,,,,,,,,,,,,,
66,964,849,889,865,1087,904,644,774,780,1166,966,593,908,938,850,640,978,755,682,884,929,894,1105,703,940,910,898,956,1116,788,721,954,1082,1080,843,984,715,976,661,721,628,813,880,1095,1024,1024,1054,1178,1228,630,1090,977,1210,1009,973,1240,1183,686,237,203,632,498,114,325,548,0,,,,,,,,,,,,,,,,,,
67,842,727,767,743,965,783,522,652,658,1045,844,472,787,816,728,518,856,633,561,763,808,773,984,581,819,788,777,835,995,541,599,832,960,959,721,862,593,854,539,599,410,595,758,973,903,902,932,1056,1106,644,969,856,1089,887,852,1119,1061,565,1658,176,511,377,315,95,474,285,0,,,,,,,,,,,,,,,,,
68,909,794,834,810,1032,850,589,719,725,1112,911,539,854,883,795,585,923,700,627,829,874,840,1051,648,886,855,844,902,1062,733,666,899,1027,1026,788,929,660,921,606,666,561,746,825,1040,970,969,999,1123,1173,711,1036,923,1156,954,919,1186,1128,631,170,136,578,444,149,244,484,120,194,0,,,,,,,,,,,,,,,,
69,332,504,443,214,539,458,300,209,436,618,355,249,462,390,506,129,507,264,140,292,483,438,558,265,425,463,422,409,569,444,377,482,534,532,371,512,370,428,316,292,756,941,477,457,387,325,415,543,680,255,453,346,663,461,276,693,635,161,562,570,107,181,608,437,172,578,460,526,0,,,,,,,,,,,,,,,
70,705,797,846,583,1044,852,601,581,737,1123,728,551,866,886,807,468,935,712,511,664,886,852,paz,660,898,867,847,914,1074,745,678,911,1039,1037,800,941,672,933,618,678,778,963,837,651,604,574,605,736,810,425,646,719,1168,966,545,798,757,458,434,399,461,444,412,385,343,267,334,298,410,0,,,,,,,,,,,,,,
71,503,757,797,484,647,812,552,482,688,892,562,501,736,664,758,361,781,537,403,499,837,712,831,611,699,918,696,682,842,696,629,756,808,806,645,786,622,702,569,629,866,1051,787,489,442,412,444,574,649,263,484,539,666,570,383,636,595,296,543,509,354,403,462,473,181,399,443,406,321,196,0,,,,,,,,,,,,,
72,378,512,462,260,585,503,307,228,479,664,401,257,507,435,513,135,553,283,178,337,528,484,603,310,471,509,468,454,614,487,420,527,554,578,416,531,413,473,324,338,756,998,523,444,374,363,394,529,726,217,472,392,682,480,293,591,530,141,531,584,128,174,582,391,137,521,428,491,112,386,285,0,,,,,,,,,,,,
73,432,527,567,314,765,583,322,309,459,845,455,272,587,616,529,196,656,434,238,392,608,573,784,382,619,588,577,635,795,467,400,633,761,759,522,663,393,654,339,399,736,921,558,557,487,486,516,642,907,296,552,446,889,687,436,919,862,242,464,471,188,174,511,324,164,450,361,396,138,315,275,114,0,,,,,,,,,,,
74,593,685,735,471,933,750,490,469,626,1112,616,439,754,774,696,357,823,601,399,553,775,740,951,549,786,755,744,802,962,634,567,800,928,926,689,830,560,821,507,567,723,851,725,718,647,584,677,803,1074,452,713,607,1056,855,596,1086,1029,378,346,329,349,332,342,273,292,281,243,228,299,142,231,275,203,0,,,,,,,,,,
75,698,436,549,598,821,508,378,508,384,900,700,327,642,672,454,489,634,489,531,618,592,628,839,437,674,644,632,690,850,368,407,688,816,814,577,644,330,710,395,455,393,578,487,829,758,758,790,912,962,615,824,711,944,743,707,974,917,535,320,328,485,248,467,130,495,437,196,346,404,440,601,397,371,329,0,,,,,,,,,
76,1216,663,883,1117,1279,842,897,1026,728,1358,1178,848,934,1114,730,1157,968,1043,1199,1138,926,1033,1210,942,1109,937,995,1169,1290,670,816,966,1256,1272,982,979,736,1168,806,925,345,173,821,1334,1264,1263,1294,1370,1420,1283,1330,1235,1403,1221,1213,1433,1375,1203,727,761,1163,916,918,733,1163,937,721,853,1072,1082,1171,1084,1039,971,702,0,,,,,,,,
77,843,480,701,744,966,604,523,653,481,1045,845,473,788,817,544,634,730,634,676,763,688,774,984,582,819,789,777,836,996,420,515,833,961,959,722,741,429,855,540,600,250,435,583,974,904,903,935,1057,1107,760,969,857,1090,888,853,1120,1062,680,308,342,630,393,546,210,640,516,275,425,549,560,648,542,516,448,179,550,0,,,,,,,
78,1192,638,858,1092,1254,818,872,1002,703,1334,1153,823,910,1089,705,1093,943,1018,1128,1113,902,1009,1185,918,1085,912,971,1144,1255,646,792,941,1231,1248,957,954,711,1143,782,900,457,329,796,1310,1239,1238,1269,1345,1395,1253,1305,1210,1378,1196,1188,1408,1350,1140,839,874,1097,848,1031,845,1113,1050,834,965,1016,1195,1283,1009,989,1083,814,229,668,0,,,,,,
79,929,508,728,830,1053,687,610,740,491,1132,931,561,779,959,575,808,813,721,850,850,771,878,1055,669,954,782,840,922,1135,448,576,811,1101,1046,827,824,490,941,567,687,243,424,666,1061,990,990,1020,1143,1194,934,1056,943,1176,975,939,1206,1149,854,485,519,804,567,676,384,814,690,449,599,723,733,522,736,690,622,353,468,209,454,0,,,,,
80,623,163,327,524,747,326,304,434,138,826,643,255,378,538,220,525,412,402,560,531,410,477,654,349,553,392,439,603,714,95,223,410,679,727,405,423,143,622,213,332,589,674,265,741,671,670,701,824,874,685,737,624,857,655,620,887,829,572,597,605,529,280,752,407,545,711,472,658,448,671,652,441,422,559,303,626,371,604,398,0,,,,
81,1035,482,701,935,1097,661,715,845,546,1177,996,666,753,932,548,936,786,861,971,956,745,852,1028,761,928,755,814,987,1108,489,635,784,1074,1091,800,797,548,986,625,743,303,267,639,1153,1082,1081,1112,1188,1238,1096,1148,1053,1221,1039,1031,1251,1193,983,685,719,940,691,876,690,956,895,679,810,859,1040,1129,852,832,929,660,216,514,190,298,445,0,,,
82,1382,829,1048,1282,1444,1008,1052,1192,884,1524,1343,1013,1100,1279,895,1284,1133,1208,1318,1303,1092,1199,1375,1108,1275,1102,1161,1334,1455,836,982,1131,1421,1438,1147,1144,901,1333,972,1090,647,518,986,1500,1429,1428,1459,1535,1585,1443,1495,1400,1568,1386,1378,1598,1540,1330,1029,1064,1287,1038,1221,1035,1303,1240,1024,1155,1206,1385,1473,1199,1179,1273,1004,378,858,221,645,789,377,0,,
