Hotel Id,Hotel name,Location,City,Category,Type,Lunch,Dinner,Child with bed,Child without bed,Flower bed,Candle light,Cake,Fruit Basket,Season1(08th Aug to 30th Sep,Season2(01st Oct to 24th Oct) ,Season3(25th Oct to 10th Nov),Season4(11th Nov to 19th Dec) ,Season5(20th Dec to 23rd Dec),Season6(24th Dec),Season7(25th Dec to 30th Dec),Season8(31st Dec),Season9(1st Jan to 10 Jan),website
HOTEL4747,Hotel sangam," Collector’s Office Road, Raja Colony, Tiruchirappalli, Tamil Nadu 620001  Phone: 0431 424 4555",35,4STAR,Standard ,750\750\750\750\750\750\750\750\750,750\750\750\750\750\750\750\750\750,1200\1200\1200\1200\3200\1200\3200\1200\1200,1200\1200\1200\1200\3200\1200\3200\1200\1200,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4500\0\0\0\0\0\0\0\0,4500\0\0\0\0\0\0\0\0,4500\0\0\0\0\0\0\0\0,4500\0\0\0\0\0\0\0\0,4500\0\0\0\0\0\0\0\0,4500\0\0\0\0\0\0\0\0,4500\0\0\0\0\0\0\0\0,4500\0\0\0\0\0\0\0\0,4500\0\0\0\0\0\0\0\0,sangamhotels.com
HOTEL4752,Hotel Sangam,"Trichy Road, Thanjavur, Tamil Nadu 613007 Phone: 04362 239 451",27,3STAR,Standard ,750\750\750\750\750\750\750\750\750,750\750\750\750\750\750\750\750\750,1200\1200\1200\1200\3200\1200\3200\1200\1200,1200\1200\1200\1200\1200\1200\1200\1200\1200,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4500\0\0\0\0\0\0\0\0,4500\0\0\0\0\0\0\0\0,4500\0\0\0\0\0\0\0\0,4500\0\0\0\0\0\0\0\0,4500\0\0\0\0\0\0\0\0,8500\0\0\0\0\0\0\0\0,4500\0\0\0\0\0\0\0\0,8500\0\0\0\0\0\0\0\0,4500\0\0\0\0\0\0\0\0,sangamhotels.com
HOTEL4754,STAR residency,"20/1 A, SM Road, Thanjavur, Tamil Nadu 613007  Phone:077080 68862",27,3STAR,Premium \Executive,450\450\450\450\450\450\450\450\450,450\450\450\450\450\450\450\450\450,800\800\800\800\800\800\800\800\800,450\450\450\450\450\450\450\450\450,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2000\2200\0\0\0\0\0\0\0,2000\2200\0\0\0\0\0\0\0,2000\2200\0\0\0\0\0\0\0,2000\2200\0\0\0\0\0\0\0,2000\2200\0\0\0\0\0\0\0,2000\2200\0\0\0\0\0\0\0,2000\2200\0\0\0\0\0\0\0,2000\2200\0\0\0\0\0\0\0,2000\2200\0\0\0\0\0\0\0,www.starresidencyhotels.com/tanjore/tanjore
HOTEL4755,Lakshmi Hotel,"44P, 45P VOC Nagar, Marys Corner, Trichy Main Road, Thanjavur, Tamil Nadu 613007  Phone: 04362 278 161
",27,4STAR,Superior,450\450\450\450\450\450\450\450\450,450\450\450\450\450\450\450\450\450,900\900\900\900\900\900\900\900\900,450\450\450\450\450\450\450\450\450,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2300\0\0\0\0\0\0\0\0,2300\0\0\0\0\0\0\0\0,2300\0\0\0\0\0\0\0\0,2300\0\0\0\0\0\0\0\0,2300\0\0\0\0\0\0\0\0,2300\0\0\0\0\0\0\0\0,2300\0\0\0\0\0\0\0\0,2300\0\0\0\0\0\0\0\0,2300\0\0\0\0\0\0\0\0,www.lakshmihotel.in
HOTEL4757,Hotel Daiwik,"
NH- 49, Madurai Rameswaram Highway, Near Rameswaram Bus Stand, Rameswaram, Tamil Nadu 623526,Phone: 04573 301 401",23,3STAR,Superior\Deluxe\Suite,450\450\450\450\450\450\450\450\450,450\450\450\450\450\450\450\450\450,1250\1250\1250\1250\1250\1250\1250\1250\1250,225\225\225\225\225\225\225\225\225,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4050\4400\6000\0\0\0\0\0\0,4050\4400\6000\0\0\0\0\0\0,4050\4400\6000\0\0\0\0\0\0,4050\4400\6000\0\0\0\0\0\0,4300\4700\6800\0\0\0\0\0\0,4300\4700\6800\0\0\0\0\0\0,4300\4700\6800\0\0\0\0\0\0,4300\4700\6800\0\0\0\0\0\0,4300\4700\6800\0\0\0\0\0\0,www.daiwikhotels.com
HOTEL4759,Hotel Ss grand,"
NEAR RAMESWARAM BUS STAND, Rameswaram, Tamil Nadu 623526,Phone: 080 123 17777",23,3STAR,Standard,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,762\762\762\762\762\762\762\762\762,300\300\300\300\300\300\300\300\300,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2500\0\0\0\0\0\0\0\0,2500\0\0\0\0\0\0\0\0,2500\0\0\0\0\0\0\0\0,2500\0\0\0\0\0\0\0\0,2500\0\0\0\0\0\0\0\0,2500\0\0\0\0\0\0\0\0,2500\0\0\0\0\0\0\0\0,2500\0\0\0\0\0\0\0\0,2500\0\0\0\0\0\0\0\0,hotelssgrand.com
HOTEL4760,Hotel Vinagaya,"5, Railway Feeder Road, Rameswaram, Tamil Nadu 623526, Phone:096298 66611",23,2STAR,Standard Ac Room\Deluxe Ac Room ,300\300\300\300\300\300\300\300\300,300\300\300\300\300\300\300\300\300,700\700\700\700\700\700\700\700\700,350\350\350\350\350\350\350\350\350,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1900\2100\0\0\0\0\0\0\0,1900\2100\0\0\0\0\0\0\0,1900\2100\0\0\0\0\0\0\0,1900\2100\0\0\0\0\0\0\0,1900\2100\0\0\0\0\0\0\0,1900\2100\0\0\0\0\0\0\0,1900\2100\0\0\0\0\0\0\0,1900\2100\0\0\0\0\0\0\0,1900\2100\0\0\0\0\0\0\0,poppyshotels.com/rameswaram
HOTEL4761,Seashore," East car street, , Kanyakumari, Tamil Nadu 629702, Phone:099941 21088",10,3STAR,Deluxe City View Ac Room\Classic sea View Ac room ,450\450\450\450\450\450\450\450\450,450\450\450\450\450\450\450\450\450,900\900\900\1000\1000\1000\1000\1000\900,250\250\250\500\500\500\500\500\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2000\2500\0\0\0\0\0\0\0,2000\2500\0\0\0\0\0\0\0,2000\2500\0\0\0\0\0\0\0,2000\2500\0\0\0\0\0\0\0,2500\3700\0\0\0\0\0\0\0,2500\3700\0\0\0\0\0\0\0,2500\3700\0\0\0\0\0\0\0,2500\3700\0\0\0\0\0\0\0,2500\3700\0\0\0\0\0\0\0,theseashorehotel.com
HOTEL4762,Gopinivas grand,"East Car Street, Near Seashore, Kanyakumari, Tamil Nadu 629702 Phone: 04652 246 161",10,3STAR,Standard Double\Superior Double \Deluxe Double,350\350\350\350\350\350\350\350\350,350\350\350\350\350\350\350\350\350,500\500\500\500\500\500\500\500\500,500\500\500\500\500\500\500\500\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1200\1818\2637\0\0\0\0\0\0,1200\1818\2637\0\0\0\0\0\0,1200\1818\2637\0\0\0\0\0\0,1200\1818\2637\0\0\0\0\0\0,2370\3091\4430\0\0\0\0\0\0,2370\3091\4430\0\0\0\0\0\0,2370\3091\4430\0\0\0\0\0\0,2370\3091\4430\0\0\0\0\0\0,2370\3091\4430\0\0\0\0\0\0,www.thegopinivasgrand.com
HOTEL4763,Melody Park,"2-5, East Car Street Kanyakumari, Tamil Nadu 629702 India, Phone:04652 246 667",10,2STAR,Standard\Deluxe Surface\Superior Deluxe Surface\Deluxe Suite\Executive Suite,300\300\300\300\300\300\300\300\300,300\300\300\300\300\300\300\300\300,550\550\550\550\550\550\550\550\550,550\550\550\550\550\550\550\550\550,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1900\2100\2500\3600\3900\0\0\0\0,1900\2100\2500\3600\3900\0\0\0\0,1900\2100\2500\3600\3900\0\0\0\0,1900\2100\2500\3600\3900\0\0\0\0,1900\2100\2500\3600\3900\0\0\0\0,1900\2100\2500\3600\3900\0\0\0\0,1900\2100\2500\3600\3900\0\0\0\0,1900\2100\2500\3600\3900\0\0\0\0,1900\2100\2500\3600\3900\0\0\0\0,www.melodypark.in
HOTEL4766,JC residency,"Convent Rd, Naidupuram, Kodaikanal, Tamil Nadu 624101, Phone:04542 245 224",11,3STAR,Super Deluxe Non Ac Room\Royal Suite Non Ac Room ,450\450\450\450\450\450\450\450\450,450\450\450\450\450\450\450\450\450,1000\1000\1000\1000\1000\1000\1000\1000\1000,500\500\500\500\500\500\500\500\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2520\3280\0\0\0\0\0\0\0,2520\3280\0\0\0\0\0\0\0,2520\3280\0\0\0\0\0\0\0,2520\3280\0\0\0\0\0\0\0,2520\3280\0\0\0\0\0\0\0,2520\3280\0\0\0\0\0\0\0,2520\3280\0\0\0\0\0\0\0,2520\3280\0\0\0\0\0\0\0,2520\3280\0\0\0\0\0\0\0,www.jcresidency.com
HOTEL4767,Apple valley,"Bliss Villa Road, Anna Salai, Kodaikanal, Tamil Nadu 624101, Phone:04542 243 100",11,3STAR,Apple Deluxe\Apple super Deluxe\Apple Triple Deluxe\Apple Honeymoon Suite\Apple Family Suite,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,550\550\550\550\550\550\550\550\550,200\200\200\200\200\200\200\200\200,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1606\2208\2910\3211\3713\0\0\0\0,1606\2208\2910\3211\3713\0\0\0\0,1606\2208\2910\3211\3713\0\0\0\0,1606\2208\2910\3211\3713\0\0\0\0,1606\2208\2910\3211\3713\0\0\0\0,1606\2208\2910\3211\3713\0\0\0\0,1606\2208\2910\3211\3713\0\0\0\0,1606\2208\2910\3211\3713\0\0\0\0,1606\2208\2910\3211\3713\0\0\0\0,www.hotelapplevalley.com
HOTEL4774,Hotel high Land Inn (by Accord),"4/278, Kotagiri Road Doddabetta Junction, The Nilgiris, Ooty, Tamil Nadu 643001  Phone: 0423 245 0021",19,3STAR,Deluxe \Suite,500\500\500\500\500\500\500\500\500,500\500\500\500\500\500\500\500\500,1000\1000\1000\1000\1000\1000\1000\1000\1000,1000\1000\1000\1000\1000\1000\1000\1000\1000,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4000\6750\0\0\0\0\0\0\0,4000\6750\0\0\0\0\0\0\0,4000\6750\0\0\0\0\0\0\0,5500\8000\0\0\0\0\0\0\0,5500\8000\0\0\0\0\0\0\0,5500\8000\0\0\0\0\0\0\0,5500\8000\0\0\0\0\0\0\0,5500\8000\0\0\0\0\0\0\0,4000\6750\0\0\0\0\0\0\0, info.ooty@accordmetropolitan.com
HOTEL4781,Hotel lake view," West Lake Road, Near The Ooty Lake, Ooty, Tamil Nadu 643004 Phone:0423 244 0978",19,2STAR,Deluxe Non Ac Room \Suite Non Ac Room\Executive Suite Non Ac Room\villa,315\315\315\315\315\315\315\315\315,315\315\315\315\315\315\315\315\315,660\660\660\660\660\660\660\660\660,126\126\126\126\126\126\126\126\126,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2450\2653\2927\3110\0\0\0\0\0,2450\2653\2927\3110\0\0\0\0\0,2450\2653\2927\3110\0\0\0\0\0,2450\2653\2927\3110\0\0\0\0\0,2805\2906\3109\3312\0\0\0\0\0,2805\2906\3109\3312\0\0\0\0\0,2805\2906\3109\3312\0\0\0\0\0,2805\2906\3109\3312\0\0\0\0\0,2805\2906\3109\3312\0\0\0\0\0,www.hotellakeview.com
HOTEL4787,Pai vista,"#3, 27th Cross, Banashankari 2nd Stage, Bengaluru, Karnataka 560070  Phone: 088920 77889",62,3STAR,Superior\Executive,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,968\968\968\968\968\968\968\968\968,400\400\400\400\400\400\400\400\400,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2400\2800\0\0\0\0\0\0\0,2400\2800\0\0\0\0\0\0\0,2400\2800\0\0\0\0\0\0\0,2400\2800\0\0\0\0\0\0\0,2400\2800\0\0\0\0\0\0\0,2400\2800\0\0\0\0\0\0\0,2400\2800\0\0\0\0\0\0\0,2400\2800\0\0\0\0\0\0\0,2400\2800\0\0\0\0\0\0\0,www.paihotels.com/hotel-pai-vaibhav-siddhaiah-road-bangalore
HOTEL4795,Hotel Magajiorchid,"No. 3, Nagappa Street, Near Swastik Circle, Seshadripuram, College Road, Opposite to Karnataka Bank, Bengaluru, Karnataka 560020",62,3STAR,Standard Double\Comfort Double,350\350\350\350\350\350\350\350\350,350\350\350\350\350\350\350\350\350,500\500\500\500\500\500\500\500\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2000\2700\0\0\0\0\0\0\0,2000\2700\0\0\0\0\0\0\0,2000\2700\0\0\0\0\0\0\0,2000\2700\0\0\0\0\0\0\0,2000\2700\0\0\0\0\0\0\0,2000\2700\0\0\0\0\0\0\0,2000\2700\0\0\0\0\0\0\0,2000\2700\0\0\0\0\0\0\0,2000\2700\0\0\0\0\0\0\0,www.magajiorchid.chobs.in
HOTEL4796,Pai vaibhav hotel,"#19/A, H. Siddhaiah Road, Bangalore, Karnataka 560002, Phone:099809 0906",62,2STAR,Deluxe Ac Room\Suite Ac Room ,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,600\600\600\600\600\600\600\600\600,300\300\300\300\300\300\300\300\300,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1900\2700\0\0\0\0\0\0\0,1900\2700\0\0\0\0\0\0\0,1900\2700\0\0\0\0\0\0\0,1900\2700\0\0\0\0\0\0\0,1900\2700\0\0\0\0\0\0\0,1900\2700\0\0\0\0\0\0\0,1900\2700\0\0\0\0\0\0\0,1900\2700\0\0\0\0\0\0\0,1900\2700\0\0\0\0\0\0\0,www.paihotels.com/hotel-pai-vaibhav-siddhaiah-road-bangalore
HOTEL4812,Hoysala village resort,"Survey No. 357, 1/2, Belur Road, Handinkere Village, JH Kere PO, Hassan, Karnataka 573217  Phone: 080 2234 0166",80,3STAR,Superior\Suite\Jacuzzi villa,600\600\600\600\600\600\600\600\600,650\650\650\650\650\650\650\650\650,1650\1650\1650\1650\1650\1650\1650\1650\1650,1650\1650\1650\1650\1650\1650\1650\1650\1650,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,5700\6300\8900\0\0\0\0\0\0,5700\6300\8900\0\0\0\0\0\0,5700\6300\8900\0\0\0\0\0\0,5700\6300\8900\0\0\0\0\0\0,5700\6300\8900\0\0\0\0\0\0,5700\6300\8900\0\0\0\0\0\0,5700\6300\8900\0\0\0\0\0\0,5700\6300\8900\0\0\0\0\0\0,5700\6300\8900\0\0\0\0\0\0,hoysalavillageresorts.com
HOTEL4818,The windflower resort & spa,"
Survey No.198/1,198/2, Manavely Revenue Village, Maraimalai Adigal Street, Chinnaveeram Pattinam, Ariyankuppam Post, Puducherry, 605007,Phone: 080 4114 2408",43,4STAR,Garden View\Water View\Garden ViewSuite\suite-water View\Villa,650\650\650\650\650\650\650\650\650,650\650\650\650\650\650\650\650\650,1550\1550\1550\1800\1800\1800\3060\1800\1550,600\600\600\600\600\600\1020\600\600,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,6205\6545\6970\7395\14875\0\0\0\0,6205\6545\6970\7395\14875\0\0\0\0,6205\6545\6970\7395\14875\0\0\0\0,6205\6545\6970\7395\14875\0\0\0\0,7300\7700\8200\8700\17500\0\0\0\0,7300\7700\8200\8700\17500\0\0\0\0,7300\7700\8200\8700\17500\0\0\0\0,12410\13090\13940\14790\29750,7300\7700\8200\8700\17500\0\0\0\0,www.thewindflower.com
HOTEL4819,Dune eco village & spa,"
70, EC Road, Pudhukuppam,Keelputhupet, Via Pondicherry university, Pondicherry, Puducherry 605014,Phone: 093644 55440",43,4STAR,Eco Cottages\Standard\ Suite,900\900\900\900\900\900\900\900\900,900\900\900\900\900\900\900\900\900,2000\2000\2000\2000\2000\2000\2000\2000\2000,1000\1000\1000\1000\1000\1000\1000\1000\1000,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4400\6390\9560\0\0\0\0\0\0,4400\6390\9560\0\0\0\0\0\0,4400\6390\9560\0\0\0\0\0\0,4400\6390\9560\0\0\0\0\0\0,4400\6390\9560\0\0\0\0\0\0,4400\6390\9560\0\0\0\0\0\0,4400\6390\9560\0\0\0\0\0\0,4400\6390\9560\0\0\0\0\0\0,4850\7040\10510\0\0\0\0\0\0,www.duneecogroup.com
