Hotel_name,Location,City,Category,Type,Lunch,Dinner,Child with bed,Child without bed,Flower bed,Candle light,Cake,Fruit Basket,Season1(01st April to 30th Sep),Season2(01st Oct to 10th Dec),Season3(10th Dec  to 20th Dec),Season4 (20th Dec to 23rd Dec),Season 5(24th Dec ),Season 6(25th Dec to 30th Dec ),Season 7 (31st Dec ),Season 8(01st Jan to 10th Jan),Season 9(11th Jan to 31st Mar),
Sealord Cochin,"Shanmugham Road, Kochi, Kerala 682031, Phone:0484 238 2472",49,2 Star ,Standard,350\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,600\0\0\0\0\0\0\0\0,300\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1600\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.sealordhotels.com
Diwans Court,"Divans Road, Pallimukku, Near Laxmi Hospital, Near Medical Trust Hospital, Ernakulam, Kochi, Kerala 682016, Phone:0484 403 4068",49,2 Star ,Standard,350\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,600\0\0\0\0\0\0\0\0,300\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1400\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.sealordhotels.com
Hotel Aiswarya,"aWarriam Road, Cochin - 682016. Ph: +91 484 2364454,2364452",49,2 Star ,Executive\Suite,300\0\0\0\0\0\0\0\0,300\0\0\0\0\0\0\0\0,600\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1800\2800\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.aiswaryahotels.com
Cherai Beach Resort," Cherai Beach Road, Vypin Island, Cochin, Kerala 683514, Phone:0484 248 1818",49,3 Star,Fishermen Villa AC\Fishermen Villa Non AC\Heritage Villa Non AC (4 Bedded)\Heritage Villa Non AC (4 Bedded)\Sunrise Villa\Garden Villa\Doctors Villa\Doctors Premium Villa\Doctors Premium Famil Villa (02 B/R)\Club Villa\Pool Villa,400\0\0\0\0\0\0\0\0,400\0\0\0\0\0\0\0\0,800\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3838\2158\2878\3838\3358\2398\3358\4797\2398\8634,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.cheraibeachresorts.com
Blue Water Cherai,"1. Beach Rd, Cherai, Kochi, Kerala 683514, Phone:0484 241 8000",49,3 Star,Superior\Deluxe\Suite,500\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,800\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2700\3200\4300\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.bluewaterscherai.in
Kanoos Residency,"19/20, East Nada, Guruvayoor, Thrissur, Kerala 680101, Phone:0487 255 1800",57,3 Star,Superior\Deluxe\Colossal Suite (06 bedded)\Executive Suite\Presidential Suite,450\0\0\0\0\0\0\0\0,450\0\0\0\0\0\0\0\0,960\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2956\3975\6626\7441\9989\0\0\0\0,2956\3975\6626\7441\9989\0\0\0\0,2956\3975\6626\7441\9989\0\0\0\0,2956\3975\6626\7441\9989\0\0\0\0,2956\3975\6626\7441\9989\0\0\0\0,2956\3975\6626\7441\9989\0\0\0\0,2956\3975\6626\7441\9989\0\0\0\0,2956\3975\6626\7441\9989\0\0\0\0,2956\3975\6626\7441\9989\0\0\0\0,www.kanoosresidency.com
Vishnu Inn,"Near Merchant Association Office, Inner Ring Rd, East Nada, Guruvayoor, Kerala 680101,Phone:0487 255 7275",57,3 Star,Standard\Deluxe\Suite,450\0\0\0\0\0\0\0\0,450\0\0\0\0\0\0\0\0,675\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1772\2278\3037\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.vishnuinn.com
Chandy Windy woods,"Meencut, Chittirapuram P.O., Dist Idukki, Chithirapuram Powerhouse Road, Munnar, Kerala 685565, Phone:04865 263 450",54,5 Star,Deluxe\Super Deluxe\Suite\Presidential Suite,650\0\0\0\0\0\0\0\0,650\0\0\0\0\0\0\0\0,2000\0\0\0\0\0\0\0\0,1000\0\0\0\0\0\0\0\0,1750\0\0\0\0\0\0\0\0,2000\0\0\0\0\0\0\0\0,1500\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,6000\7500\8500\12000\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.chandyswindywoods.com
Mountain Club,"Chinnakanal, Chinnakanal Suryanelli Rd, Munnar, Kerala 685618, Phone:094465 03100",54,4 Star ,01 Bed Room Cottage \02 Bed Room Cottage ,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1800(MAP)\0\0\0\0\0\0\0\0,650(MAP)\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4750 \8750 \0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.mtnclub.com
Silver Tips," SH16, Munnar, Kerala 685612, Phone:04865 230 238",54,4 Star ,Executive\Superior\Suite,550\0\0\0\0\0\0\0\0,550\0\0\0\0\0\0\0\0,1200\0\0\0\0\0\0\0\0,300\0\0\0\0\0\0\0\0,900\0\0\0\0\0\0\0\0,1000\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3500\4000\5000\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.silvertipsmunnar.com
T&U Leisure Hotel," Mattupetty Road, Near Marthoma Retreat Center, Munnar, Kerala 685612,Phone:04865 233 081",54,4 Star ,Deluxe\Suite,500\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,1100\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3500\6500\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.tanduleisurehotel.com
Tall Trees ,"P.B. No. 40, Bison Valley Road, Nullatanni, Munnar, Kerala 685612, Phone:04865 232 716",54,4 Star ,Std Cottage\Deluxe Cottage\Luxury Cottage (02 B/R),750\0\0\0\0\0\0\0\0,750\0\0\0\0\0\0\0\0,2000\0\0\0\0\0\0\0\0,1500\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,5000\7000\13000\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.ttr.in
Devonshire Greens,"Attukad Waterfall Road, Pallivasal P.O,, Munnar, Kerala 685612, Phone:04865 230 01",54,4 Star ,Valley View\Valley View Premium\Sunrise View Premium\Suite,400\0\0\0\0\0\0\0\0,400\0\0\0\0\0\0\0\0,1750\0\0\0\0\0\0\0\0,900\0\0\0\0\0\0\0\0,1500\0\0\0\0\0\0\0\0,1500\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4500\5300\7300\10200\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,devonshiregreens.com
Tea County,"Ikka Nagar, Munnar, Kerala 685612, Phone:04865 230 460",54,4 Star ,Deluxe (MAPAI)\Premium(MAPAI)\Royal Suite (MAPAI),0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1617\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,5995\6495\10192\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.teacountymunnar.com
Orchid Higland,"Chithirapuram South, Power House Road, MunnarMunnar - 685565, Kerala, India",54,4 Star ,Deluxe\Executive\Premium\Premium Suite,500\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,1250\0\0\0\0\0\0\0\0,1000\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3000\3500\4500\7000\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.orchidmunnar.com
Eastend Munnar,"Temple Road, Munnar, Kerala 685612, Phone:04865 230 451",54,3 Star,Galaxy\Super Deluxe\Premium\Suite,400\0\0\0\0\0\0\0\0,400\0\0\0\0\0\0\0\0,500\0\1000\1000\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1999\2250\3750\5500\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.eastend.in
Clouds Valley,"SH16, Kannan Devan Hills, Moolakadai, Munnar, Kerala 685612,Phone:04865 230 687",54,3 Star,Deluxe\Valley View,400\0\0\0\0\0\0\0\0,400\0\0\0\0\0\0\0\0,800\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,1500\0\0\0\0\0\0\0\0,1500\0\0\0\0\0\0\0\0,1000\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2150\2650\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.cloudsvalleymunnar.com
Hotel Hill View,"Near Blossom Hydel Park, SH16, Moolakadai, Munnar, Kerala 685612, Phone:04865 230 567",54,3 Star,Deluxe\Super Deluxe,350\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,700\0\0\0\0\0\0\0\0,300\0\0\0\0\0\0\0\0,600\0\0\0\0\0\0\0\0,700\0\0\0\0\0\0\0\0,400\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1800\2400\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.hotelhillviewcoorg.com
Abad Copper Castle,"Pothumedu, Munnar, Kerala 685565, Phone:04865 230 443",54,3 Star,Superior\Suite,450\0\0\0\0\0\0\0\0,450\0\0\0\0\0\0\0\0,750\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2500\4500\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.abadhotels.com/coppercastle
Blu Haze Resort,"Chithirapuram, Pallivasal, Munnar, Kerala 685563, Phone:096333 97777",54,3 Star,Deluxe\Super Deluxe\Executive Suite\Luxury Suite,350\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,750\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2300\2600\3500\4500\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.bluhazeresort.com
Elysium Garden Hill Resort,"Top Station Road, Munnar, Kerala 685612, Phone:04865 232 620",54,3 Star,Executive\Garden View Cottage,500\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,1000\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2950\4100\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.elysiumgarden.com
Westwood River Side,"Aluva - Munnar Road, MSA Road, Munnar, Kerala 685612, Phone:04865 230 884",54,3 Star,Deluxe\Executive River View,400\0\0\0\0\0\0\0\0,400\0\0\0\0\0\0\0\0,900\0\0\0\0\0\0\0\0,600\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3000\3600\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.westwoodmunnar.com
Grand Plaza,"Near KSRTC Bus Stand, MSA Rd, Moolakadai, Munnar, Kerala 685612, Phone:04865 230 889",54,3 Star,Ekegance\Ambiance\Emience Suite\Emience Royal,450\0\0\0\0\0\0\0\0,450\0\0\0\0\0\0\0\0,850\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2700\3400\4200\5100\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,www.grandplazamunnar.com
