Hotel_name,Location,City,Category,Type,Lunch,Dinner,Child with bed,Child without bed,Flower bed,Candle light,Cake,Fruit Basket,Season1(01st April to 30th Sep),Season2(01st Oct to 10th Dec),Season3(10th Dec  to 20th Dec),Season4 (20th Dec to 23rd Dec),Season 5(24th Dec ),Season 6(25th Dec to 30th Dec ),Season 7 (31st Dec ),Season 8(01st Jan to 10th Jan),Season 9(11th Jan to 31st Mar)
Sealord Cochin,"Shanmugham Road, Kochi, Kerala 682031, Phone:0484 238 2472",49,2 Star ,Standard,350\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,600\0\0\0\0\0\0\0\0,300\0\0\0\0\0\0\0\0,,,,,1600,,,,,,,,
Diwans Court,"Divans Road, Pallimukku, Near Laxmi Hospital, Near Medical Trust Hospital, Ernakulam, Kochi, Kerala 682016, Phone:0484 403 4068",49,2 Star ,Standard,350\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,600\0\0\0\0\0\0\0\0,300\0\0\0\0\0\0\0\0,,,,,1400,,,,,,,,
Hotel Aiswarya,"aWarriam Road, Cochin - 682016. Ph: +91 484 2364454,2364452",49,2 Star ,Executive\Suite,300\0\0\0\0\0\0\0\0,300\0\0\0\0\0\0\0\0,600\0\0\0\0\0\0\0\0,,,,,,1800\2800,,,,,,,,
Cherai Beach Resort," Cherai Beach Road, Vypin Island, Cochin, Kerala 683514, Phone:0484 248 1818",49,3 Star,Fishermen Villa AC\Fishermen Villa Non AC\Heritage Villa Non AC (4 Bedded)\Heritage Villa Non AC (4 Bedded)\Sunrise Villa\Garden Villa\Doctors Villa\Doctors Premium Villa\Doctors Premium Famil Villa (02 B/R)\Club Villa\Pool Villa,400\0\0\0\0\0\0\0\0,400\0\0\0\0\0\0\0\0,800\0\0\0\0\0\0\0\0,,,,,,3838\2158\2878\3838\3358\2398\3358\4797\2398\8634,,,,,,,,
Blue Water Cherai,"1. Beach Rd, Cherai, Kochi, Kerala 683514, Phone:0484 241 8000",49,3 Star,Superior\Deluxe\Suite,500\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,800\0\0\0\0\0\0\0\0,,,,,,2700\3200\4300,,,,,,,,
Kanoos Residency,"19/20, East Nada, Guruvayoor, Thrissur, Kerala 680101, Phone:0487 255 1800",57,3 Star,Superior\Deluxe\Colossal Suite (06 bedded)\Executive Suite\Presidential Suite,450\0\0\0\0\0\0\0\0,450\0\0\0\0\0\0\0\0,960\0\0\0\0\0\0\0\0,,,,,,2956\3975\6626\7441\9989,2956\3975\6626\7441\9989,2956\3975\6626\7441\9989,2956\3975\6626\7441\9989,2956\3975\6626\7441\9989,2956\3975\6626\7441\9989,2956\3975\6626\7441\9989,2956\3975\6626\7441\9989,2956\3975\6626\7441\9989
Vishnu Inn,"Near Merchant Association Office, Inner Ring Rd, East Nada, Guruvayoor, Kerala 680101,Phone:0487 255 7275",57,3 Star,Standard\Deluxe\Suite,450\0\0\0\0\0\0\0\0,450\0\0\0\0\0\0\0\0,675\0\0\0\0\0\0\0\0,,,,,,1772\2278\3037,,,,,,,,
Chandy Windy woods,"Meencut, Chittirapuram P.O., Dist Idukki, Chithirapuram Powerhouse Road, Munnar, Kerala 685565, Phone:04865 263 450",54,5 Star,Deluxe\Super Deluxe\Suite\Presidential Suite,650\0\0\0\0\0\0\0\0,650\0\0\0\0\0\0\0\0,2000\0\0\0\0\0\0\0\0,1000\0\0\0\0\0\0\0\0,1750\0\0\0\0\0\0\0\0,2000\0\0\0\0\0\0\0\0,1500\0\0\0\0\0\0\0\0,,6000\7500\8500\12000,,,,,,,,
Mountain Club,"Chinnakanal, Chinnakanal Suryanelli Rd, Munnar, Kerala 685618, Phone:094465 03100",54,4 Star ,01 Bed Room Cottage \02 Bed Room Cottage ,,,1800(MAP)\0\0\0\0\0\0\0\0,650(MAP)\0\0\0\0\0\0\0\0,,,,,4750 (MAPAI)\8750 (MAPAI),,,,,,,,
Silver Tips," SH16, Munnar, Kerala 685612, Phone:04865 230 238",54,4 Star ,Executive\Superior\Suite,550\0\0\0\0\0\0\0\0,550\0\0\0\0\0\0\0\0,1200\0\0\0\0\0\0\0\0,300\0\0\0\0\0\0\0\0,900\0\0\0\0\0\0\0\0,1000\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,,3500\4000\5000,,,,,,,,
T&U Leisure Hotel," Mattupetty Road, Near Marthoma Retreat Center, Munnar, Kerala 685612,Phone:04865 233 081",54,4 Star ,Deluxe\Suite,500\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,1100\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,,,,,3500\6500,,,,,,,,
Tall Trees ,"P.B. No. 40, Bison Valley Road, Nullatanni, Munnar, Kerala 685612, Phone:04865 232 716",54,4 Star ,Std Cottage\Deluxe Cottage\Luxury Cottage (02 B/R),750\0\0\0\0\0\0\0\0,750\0\0\0\0\0\0\0\0,2000\0\0\0\0\0\0\0\0,1500\0\0\0\0\0\0\0\0,,,,,5000\7000\13000,,,,,,,,
Devonshire Greens,"Attukad Waterfall Road, Pallivasal P.O,, Munnar, Kerala 685612, Phone:04865 230 01",54,4 Star ,Valley View\Valley View Premium\Sunrise View Premium\Suite,400\0\0\0\0\0\0\0\0,400\0\0\0\0\0\0\0\0,1750\0\0\0\0\0\0\0\0,900\0\0\0\0\0\0\0\0,1500\0\0\0\0\0\0\0\0,1500\0\0\0\0\0\0\0\0,,,4500\5300\7300\10200,,,,,,,,
Tea County,"Ikka Nagar, Munnar, Kerala 685612, Phone:04865 230 460",54,4 Star ,Deluxe (MAPAI)\Premium(MAPAI)\Royal Suite (MAPAI),,,1617\0\0\0\0\0\0\0\0,,,,,,5995\6495\10192,,,,,,,,
Orchid Higland,"Chithirapuram South, Power House Road, MunnarMunnar - 685565, Kerala, India",54,4 Star ,Deluxe\Executive\Premium\Premium Suite,500\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,1250\0\0\0\0\0\0\0\0,1000\0\0\0\0\0\0\0\0,,,,,3000\3500\4500\7000,,,,,,,,
Eastend Munnar,"Temple Road, Munnar, Kerala 685612, Phone:04865 230 451",54,3 Star,Galaxy\Super Deluxe\Premium\Suite,400\0\0\0\0\0\0\0\0,400\0\0\0\0\0\0\0\0,500\0\1000\1000\0\0\0\0\0,,,,,,1999\2250\3750\5500,,,,,,,,
Clouds Valley,"SH16, Kannan Devan Hills, Moolakadai, Munnar, Kerala 685612,Phone:04865 230 687",54,3 Star,Deluxe\Valley View,400\0\0\0\0\0\0\0\0,400\0\0\0\0\0\0\0\0,800\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,1500\0\0\0\0\0\0\0\0,1500\0\0\0\0\0\0\0\0,1000\0\0\0\0\0\0\0\0,,2150\2650,,,,,,,,
Hotel Hill View,"Near Blossom Hydel Park, SH16, Moolakadai, Munnar, Kerala 685612, Phone:04865 230 567",54,3 Star,Deluxe\Super Deluxe,350\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,700\0\0\0\0\0\0\0\0,300\0\0\0\0\0\0\0\0,600\0\0\0\0\0\0\0\0,700\0\0\0\0\0\0\0\0,400\0\0\0\0\0\0\0\0,,1800\2400,,,,,,,,
Abad Copper Castle,"Pothumedu, Munnar, Kerala 685565, Phone:04865 230 443",54,3 Star,Superior\Suite,450\0\0\0\0\0\0\0\0,450\0\0\0\0\0\0\0\0,750\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,,,,,2500\4500,,,,,,,,
Blu Haze Resort,"Chithirapuram, Pallivasal, Munnar, Kerala 685563, Phone:096333 97777",54,3 Star,Deluxe\Super Deluxe\Executive Suite\Luxury Suite,350\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,750\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,,,,,2300\2600\3500\4500,,,,,,,,
Elysium Garden Hill Resort,"Top Station Road, Munnar, Kerala 685612, Phone:04865 232 620",54,3 Star,Executive\Garden View Cottage,500\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,1000\0\0\0\0\0\0\0\0,,,,,,2950\4100,,,,,,,,
Westwood River Side,"Aluva - Munnar Road, MSA Road, Munnar, Kerala 685612, Phone:04865 230 884",54,3 Star,Deluxe\Executive River View,400\,400\,900\,600\,,,,,3000\3600,,,,,,,,
Grand Plaza,"Near KSRTC Bus Stand, MSA Rd, Moolakadai, Munnar, Kerala 685612, Phone:04865 230 889",54,3 Star,Ekegance\Ambiance\Emience Suite\Emience Royal,450\0\0\0\0\0\0\0\0,450\0\0\0\0\0\0\0\0,850\0\0\0\0\0\0\0\0,,,,,,2700\3400\4200\5100,,,,,,,,
Birds Valley Resort,"Kunjithanny, Munnar, Idukky, Kerala 685565, Phone:04865 265 500",54,3 Star,Valley View\Honeymoon Cottage\Royal Mountain View Cottage(2 B/R)\Presidential Suite,450\0\0\0\0\0\0\0\0,450\0\0\0\0\0\0\0\0,900\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,750\0\0\0\0\0\0\0\0,1500\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,,2500\3000\4500\5500,,,,,,,,
Misty Mountain Resort,"Randam Mile / Second Mile Junction,Pallivasal, Munnar, Kerala 685565, Phone:04865 263 784",54,3 Star,Standard\Valley  View\Valley View Deluxe\Valley View Suite,400\0\0\0\0\0\0\0\0,400\0\0\0\0\0\0\0\0,1000\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,,,,,2300\2800\3200\4000,,,,,,,,
Blackberry Hills,"Bison Valley Road, Pothamedu View Point, Munnar, Kerala 685612, Phone:094477 06606",54,3 Star,Garden Studio\Garden Suite\Villa Suite,750\0\0\0\0\0\0\0\0,750\0\0\0\0\0\0\0\0,2000\0\0\0\0\0\0\0\0,1500\0\0\0\0\0\0\0\0,,,,,4500\5350\6150,,,,,,,,
Nature Zone Resort,"Munnar -Udumalpet Road, Pulippara, Pallivasal, Munnar, Kerala 685612, Phone:097454 33330",54,3 Star,African Safari Tent (MAP)\Tree House (MAP),500\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,1200\0\0\0\0\0\0\0\0,,,,,,4000\5500,,,,,,,,
Hotel C7,"Tea Museum Road, Nullatanni, Munnar, Kerala 685612, Phone:04865 230 217",54,2 Star ,Deluxe\Galaxy Garden View\Club Suite,350\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,700\0\0\0\0\0\0\0\0,,,,,,2000\2400\3000,,,,,,,,
Bellmount Resort," NH Road, Central Munnar,, Kerala 685612, Phone:094955 41212",54,2 Star ,Deluxe\Super Deluxe\Galaxy,350\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,,,,,,1700\2200\2700,,,,,,,,
Laspalms Munnar,"NH 49, Devikulam P. O, Munnar, Idukki, Munnar, Keral",54,2 Star ,Standard,350\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,600\0\0\0\0\0\0\0\0,300\0\0\0\0\0\0\0\0,,,,,1700,,,,,,,,
Whispering Meadows," 2nd Mile, Pallivasal Post Office, Munnar, Kerala, Phone:0484 236 4480",54,2 Star ,Garden Cottage\Deluxe Cottage\Superior Cottage,450\0\0\0\0\0\0\0\0,450\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,250\0\0\0\0\0\0\0\0,,,,,1600\1800\2000,,,,,,,,
Rose Dale - Home Stay,"Attukad water falls road, Pallivasal Munnar, Phone: +91 9961205647, 9562772089",54,2 Star ,01 Bed Room\02 Bed Room\03 Bed Room,,,500\0\0\0\0\0\0\0\0,,,,,,1250\2000\3000,,,,,,,,
Elephant Court,"Thekkady P.O,, Thekkady, Idukki, Kerala 685536, Phone:04869 224 697",56,5 Star,Executive\Family Enclave\Patio\Garden Suite\Honeymoon Suite\Pool Suite,650\0\0\0\0\0\0\0\0,650\0\0\0\0\0\0\0\0,1500\0\0\0\0\0\0\0\0,250\0\0\0\0\0\0\0\0,,,,,3800\3900\4000\7000\9000\18000,,,,,,,,
Poetree Sarovar Portico,"Ottakathalamedu, Amaravathy P.O.,Thekkady, Kumily, Kerala 685509, Phone:086069 98448",56,4 Star ,Club Room\Oval Escape\Circle of Solitude\Circle of Solitude\Poetree Reserva\Prive Presidential Suite,500\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,1500\0\0\0\0\0\0\0\0,600\0\0\0\0\0\0\0\0,,,,,4300\6000\6000\14000\17000,,,,,,,,
Holiday Vista,"KK Road, Thekkady, Idukki, Kumily, Kerala 685509, Phone:04869 224 800",56,4 Star ,Standard (Gold Jewel)\Deluxe (Platinum Jewel)\Suite (Diamod Jewel),500\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,1000\0\0\0\0\0\0\0\0,750\0\0\0\0\0\0\0\0,1000\0\0\0\0\0\0\0\0,1700\0\0\0\0\0\0\0\0,800\0\0\0\0\0\0\0\0,,3400\3900\5000,,,,,,,,
Thekkady Wild Corridor ,"Mutikkady Kumily, Idukki, 685531, Phone:04869 224 414",56,4 Star ,Nature View Cottage\Nature View Cottage\Valley View Cottage\Valley View Cottage\Romantic Sky Cottage\Romantic Villa\Wild Corridor Private Villa,750\0\0\0\0\0\0\0\0,750\0\0\0\0\0\0\0\0,1500\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,,,,,4000\4250\4500\7000\10000,,,,,,,,
Cardamom County,"Kumily Thekkady Road, Thekkady, Kerala 685536, Phone:04869 224 501",56,4 Star ,Periyar Non AC Cottage\Periyar AC Cottage\County Cottage\Suite,700\0\0\0\0\0\0\0\0,700\0\0\0\0\0\0\0\0,1800\0\0\0\0\0\0\0\0,,,,,,3600\4100\4100\8500\10000,,,,,,,,
Spice Village," Kumily Road, Thekkady, Kumily, Kerala 685536, Phone:0484 266 8421",56,4 Star ,Standard Villa\Deluxe Villa,675\0\0\0\0\0\0\0\0,675\0\0\0\0\0\0\0\0,1500\0\0\0\0\0\0\0\0,,,,,,7125\9000,,,,,,,,
Lake Palace,"1. Thekkady, Idukki, Kerala 685536, Phone:04869 223 888",56,4 Star ,Premium (APAI),,,3278\0\0\0\0\0\0\0\0,1639\0\0\0\0\0\0\0\0,,,,,10517,,,,,,,,
Spice Grove,"Thekkady , Munnar Road, Anakkara PO, Idukki, Kerala 685512, Phone:04868 282 114",56,4 Star ,Deluxe\Premium\Family Suite\Honeymoon Suite,500\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,700\0\0\0\0\0\0\0\0,300\0\0\0\0\0\0\0\0,,,,,2200\2600\4500\5000,,,,,,,,
Aranya Nivas,"Thekkady, Kumily, Kerala 685536, Phone:04869 222 023",56,4 Star ,Deluxe  (MAPAI)\Premium (MAPAI)\Suite (MAPAI),,,1352\1445\1720\0\0\0\0\0\0,,,,,,4222\4721\6220,,,,,,,,
Hotel Tree Top,"Kumily Thekkady Road, Thekkady, Idukki, Kerala 685536, Phone:04869 223 287",56,3 Star,Deluxe\Cottage\Bungalow(04 B/R),500\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,800\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,,,,,2000\2300\8000,,,,,,,,
Periyar Meadows,"Thekkady Road, Kumily, Kerala 685509,Phone:04869 224 123",56,3 Star,Deluxe\Cottage\Bungalow (04 B/R),400\0\0\0\0\0\0\0\0,400\0\0\0\0\0\0\0\0,700\0\0\0\0\0\0\0\0,450\0\0\0\0\0\0\0\0,,,,,2250\2750\3250\3750,,,,,,,,
Tigers Roare," Near Entrance Gate, Thekkady, Kumily, Kerala 685536,Phone:04869 224 999",56,3 Star,Imperial Deluxe\Elite Honeymoon Deluxe\Royal Deluxe\Presidential Deluxe,600\0\0\0\0\0\0\0\0,600\0\0\0\0\0\0\0\0,700\0\0\0\0\0\0\0\0,300\0\0\0\0\0\0\0\0,,,,,2400\3000\3800\5000,,,,,,,,
Abad Green Forest,"Opposite RC Church, Thekkady Junction, Kumaly, Kerala 685509, Phone:0484 238 1122",56,3 Star,Jungle Lodge\Jungle Cottage,450\0\0\0\0\0\0\0\0,450\0\0\0\0\0\0\0\0,750\0\0\0\0\0\0\0\0,250\0\0\0\0\0\0\0\0,,,,,2500\3000,,,,,,,,
Grand Thekkady,"Lake Road,, Thekkady, Kerala 685509, Phone:04869 222 60",56,3 Star,Deluxe Non Ac\Super Deluxe\Suite,400\0\0\0\0\0\0\0\0,400\0\0\0\0\0\0\0\0,750\0\0\0\0\0\0\0\0,,,,,,1400\2200\3300,,,,,,,,
Jungle Park Resort,"Lake Road, Kumily Thekkady Road, Kumily, Thekkady, Kerala 685509, Phone:094465 22972",56,3 Star,Jungle View Super Deluxe \Family Suite\Triple Deluxe Family Room ,400\0\0\0\0\0\0\0\0,400\0\0\0\0\0\0\0\0,800\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,,,,,2000\3000\2800,,,,,,,,
Sandra Palace,"Opposite Lourde Church , Lake Road, Thekkady, Kerala 685509, Phone:04869 224 561",56,2 Star ,Deluxe\Superior\Luxury,350\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,,,,,,1300\1600\2000,,,,,,,,
Blooming Paradise,"Kumily Thekkady Rd, Thekkady, Kumily, Kerala 685509, Phone:04869 222 687",56,2 Star ,Standard\Deluxe\Superior,250\0\0\0\0\0\0\0\0,250\0\0\0\0\0\0\0\0,300\0\0\0\0\0\0\0\0,,,,,,1200\1300\1400,,,,,,,,
Thekkady Woods,"Anavachal Road, Thekkady, Kerala, Phone:097477 74905",56,2 Star ,Deluxe\Premium\Suite,350\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,600\0\0\0\0\0\0\0\0,150\0\0\0\0\0\0\0\0,,,,,1349\2299\3199,,,,,,,,
Silvercrest Thekkady,"Thekkady Road Kumily, Thekkadi, Kerala 685509, Phone:04869 222 481 ",56,2 Star ,Standard,350\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,600\0\0\0\0\0\0\0\0,300\0\0\0\0\0\0\0\0,,,,,1800,,,,,,,,
The Zuri,"V 235 A1 to A54, Karottukayal, Kumarakom, Kottayam, Kerala 686563, Phone:0481 252 727",53,5 Star,Superior Lagoon View Room\Deluxe Lagoon View Room\Lagoon View Cottage\Presidential Pool villas,1500\0\0\0\0\0\0\0\0,1500\0\0\0\0\0\0\0\0,3000\0\0\0\0\0\0\0\0,1500\0\0\0\0\0\0\0\0,,,,,8100\9000\10000\21600,,,,,,,,
Kumarakom Lake Resort,"Kumarakom North Post, Kottayam, Kerala 686563, Phone:0481 252 4900",53,5 Star,Luxury Pavilion Room\Luxury Pavilion Room\Meandering Pool Villa\Heritage Villa with Private Pool\Meandering Pool Duplex Villa\Heritage Lake View Villa with Private Pool\Presidential Suite with Private Pool,1650\0\0\0\0\0\0\0\0,1650\0\0\0\0\0\0\0\0,5000\0\0\0\0\0\0\0\0,,,,,,12000\12000\13000\15000\15000\50000,,,,,,,,
Aveda Kumarakom,"V/240-A, Ammankari Road, Kumarakom, Kottayam, Kerala 686563, Phone:0481 252 5500",53,4 Star ,Lakeview Terrace Luxury \Lakeview Luxury Cottage\Lakeview Luxury Villa With Plunge Pool\Lakeview Terrace Suite\Lakefront Luxury Villa With Plunge Pool,1000\0\0\0\0\0\0\0\0,1000\0\0\0\0\0\0\0\0,2500\0\0\0\0\0\0\0\0,750\0\0\0\0\0\0\0\0,,,,,6500\8000\10000\12500\12500,,,,,,,,
Lake Song," Ammankari Road, Kumarakom, Kerala 686563, Phone:094460 01498",53,4 Star ,Punnamada\Ashtamudi\Vembanadu,500\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,1470\0\0\0\0\0\0\0\0,1050\0\0\0\0\0\0\0\0,,,,,4300\5370\6440,,,,,,,,
Cocobay Resort,"Kumarakom North, Kottayam, Kerala 686566, Phone:0481 252 3200",53,4 Star ,Suite\Family Suite,550\0\0\0\0\0\0\0\0,550\0\0\0\0\0\0\0\0,905\0\0\0\0\0\0\0\0,,,,,,3609\5419,,,,,,,,
Abad Whispering Palms,"New Nazarath Road, Konchumada, Kumarakom, Kerala 686563, Phone:0481 252 3824",53,4 Star ,Garden View\Lake View,500\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,1000\0\0\0\0\0\0\0\0,250\0\0\0\0\0\0\0\0,,,,,3400\4400,,,,,,,,
Royal Rivera,"Cheepunkal, Kavanattinkara, Kumarakom, Kerala 686563, Phone:0481 252 6702",53,3 Star,Deluxe\Exicutive Suite,350\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,750\0\0\0\0\0\0\0\0,250\0\0\0\0\0\0\0\0,,,,,2400\3000,,,,,,,,
Watercapes," Kumarakom North, Kottayam, Kerala 686563, Phone:0481 252 5861",53,3 Star,Canal View\Lake View\Superior Lake View,618\0\0\0\0\0\0\0\0,618\0\0\0\0\0\0\0\0,886\978\1256\0\0\0\0\0\0,443\489\628\0\0\0\0\0\0,,, ,,3585\4084\5583,,,,,,,,
Rudra Houseboat,"Chipunkal Bridge, 686563 Kumarakom, India",53,,01 Bed Room - Deluxe\02 Bed Room - Deluxe\03Bed Room - Deluxe\,,,1000\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,,,,,6500\9000\12000,,,,,,,,
Rudra Houseboat,"Chipunkal Bridge, 686563 Kumarakom, India",53,,01 Bed Room - Premium\02 Bed Room -  Premium\03Bed Room - Premium,,,1500\0\0\0\0\0\0\0\0,750\0\0\0\0\0\0\0\0,,,,,7500\11000\15000,,,,,,,,
Lake Residency,"Near Nava Nazareth Church, Kumarakom South Post, Kottayam, Kerala 686563, Phone:094955 62800",53,2 Star ,Deluxe\Super Deluxe\Suite ,300\0\0\0\0\0\0\0\0,300\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,150\0\0\0\0\0\0\0\0,,,,,1600\2000\2400,,,,,,,,
Lake Palace Resort,"Thirumala Ward, Chungam, Alappuzha, Kerala 688011, Phone:0477 223 9701",46,5 Star,Kerala Cottage\Lake View Deluxe\Water Villa\Lake View Premium\Lake View Premium Suite,900\0\0\0\0\0\0\0\0,900\0\0\0\0\0\0\0\0,1500\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,,,,,5500\6000\6500\9000\13000,,,,,,,,
Lake Palace Premium House Boat,"Thirumala Ward, Chungam, Alappuzha, Kerala 688011, Phone:0477 223 9701",46,5 Star,Rajdhani - Single\Rajdhani - Double,,,3500\0\0\0\0\0\0\0\0,1000\0\0\0\0\0\0\0\0,,,,,17000\22000,,,,,,,,
Ramada," Nehru Trophy Finishing Point, Alappuzha, Kerala 688013,Phone:0477 224 0001",46,4 Star ,Superior\Premier\Junior Suite\Royal Suite\President Suite,600\0\0\0\0\0\0\0\0,600\0\0\0\0\0\0\0\0,1500\0\0\0\0\0\0\0\0,400\0\0\0\0\0\0\0\0,,,,,3750\4800\10000\13000\40000,,,,,,,,
The World Backwaters,"Kannankara-Thaneermukkom Road, Kannankara Post, Thanneermukkom, Alappuzhaa, Kerala 688527, Phone:0478 258 3939",46,4 Star ,Stream Villa \Lake View room\Lake View Cottage\Executive Villa with Pvt. Pool\Presidential Suite with Pvt. Pool (2 B/R)        ,500\0\0\0\0\0\0\0\0,500\0\0\0\0\0\0\0\0,800\0\0\0\0\0\0\0\0,400\0\0\0\0\0\0\0\0,,,,,3300\3700\4300\6500\9500,,,,,,,,
Panoramic Resort,"Near Kadalpalam, Beach Road, Alappuzha, Kerala 688012, Phone:022 6184 1444",46,3 Star,Garden View\Sea View,350\0\0\0\0\0\0\0\0,350\0\0\0\0\0\0\0\0,600\0\0\0\0\0\0\0\0,250\0\0\0\0\0\0\0\0,,,,,2100\2400,,,,,,,,
