Hotel name,Location,City,Category,Type,Lunch,Dinner,Child with bed,Child without bed,Flower bed,Candle light,Cake,Fruit Basket,Season1(08th Aug to 30th Sep),Season2 (01st Oct to 24th Oct),Season3 (25th Oct to 10th Nov),Season4 (11th Nov to 19th Dec),Season5 (20th Dec to 23rd Dec),Season6(24th Dec ),Season7(25th Dec to 30th Dec ),Season8 (31st Dec ),Season9 (01st Jan to 10th Jan)
Ramakrishna Hotel,xx,15,3STAR,Standard\Deluxe,150\150\150\150\150\150\150\150\150,150\150\150\150\150\150\150\150\150,700\700\700\700\700\700\700\700\700,350\350\350\350\350\350\350\350\350,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1300\1800\2300\0\0\0\0\0\0,1300\1800\2300\0\0\0\0\0\0,5783\6309\0\0\0\0\0\0\0,1300\1800\2300\0\0\0\0\0\0,1300\1800\2300\0\0\0\0\0\0,1300\1800\2300\0\0\0\0\0\0,2000\2500\0\0\0\0\0\0\0,2000\2500\0\0\0\0\0\0\0,1300\1800\2300\0\0\0\0\0\0
Grande Bay Resort & Spa,xx,15,4STAR,Grande Studio\Grande Chalet\Grande Duplex,1150\1150\1150\1150\1150\1150\1150\1150\1150,1150\1150\1150\1150\1150\1150\1150\1150\1150,1458\1458\1458\1458\1458\1458\1458\1458\1458,1094\1094\1094\1094\1094\1094\1094\1094\1094,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,8375\9359\11328\0\0\0\0\0\0,8375\9359\11328\0\0\0\0\0\0,8375\9359\11328\0\0\0\0\0\0,8375\9359\11328\0\0\0\0\0\0,9875\10359\12328\0\0\0\0\0\0,9875\10359\12328\0\0\0\0\0\0],9875\10359\12328\0\0\0\0\0\0,9875\10359\12328\0\0\0\0\0\0,9875\10359\12328\0\0\0\0\0\0
Chariot beach resort,xx,15,5STAR,Deluxe\Deluxe Chariot Cottage,2000\2000\2000\2000\2000\2000\2000\2000\2000,2000\2000\2000\2000\2000\2000\2000\2000\2000,1818\1818\1818\1818\4968\1818\4968\1818\1818,1818\1818\1818\1818\4968\1818\4968\1818\1818,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,8706\10753\0\0\0\0\0\0\0,8706\10753\0\0\0\0\0\0\0,8706\10753\0\0\0\0\0\0\0,8706\10753\0\0\0\0\0\0\0,8706\10753\0\0\0\0\0\0\0,15006\17053\0\0\0\0\0\0\0,8706\10753\0\0\0\0\0\0\0,15006\17053\0\0\0\0\0\0\0,8706\10753\0\0\0\0\0\0\0
Radisson Blu Temple pay,xx,15,5STAR,Chalet - Garden View Bay Room\Chalet - Pool View\Chalet - Sea View,1900\1900\1900\1900\1900\1900\1900\1900\1900,1900\1900\1900\1900\1900\1900\1900\1900\1900,1800\1800\1800\1800\1800\1800\1800\1800\1800,1800\1800\1800\1800\1800\1800\1800\1800\1800,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,8830\9900\10435\0\0\0\0\0\0,8830\9900\10435\0\0\0\0\0\0,8830\9900\10435\0\0\0\0\0\0,8830\9900\10435\0\0\0\0\0\0,9830\10900\11435\0\0\0\0\0\0,9830\10900\11435\0\0\0\0\0\0,9830\10900\11435\0\0\0\0\0\0,9830\10900\11435\0\0\0\0\0\0,9830\10900\11435\0\0\0\0\0\0
Hotel Mamalla heritage,xx,15,3STAR,Standard Ac Room\Deluxe Ac Room ,650\650\650\650\650\650\650\650\650,650\650\650\650\650\650\650\650\650,972\972\972\972\972\972\972\972\972,608\608\608\608\608\608\608\608\608,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2899\3122\0\0\0\0\0\0\0,2899\3122\0\0\0\0\0\0\0,2899\3122\0\0\0\0\0\0\0,2899\3122\0\0\0\0\0\0\0,3122\3345\0\0\0\0\0\0\0,3122\3345\0\0\0\0\0\0\0,3122\3345\0\0\0\0\0\0\0,3122\3345\0\0\0\0\0\0\0,2899\3122\0\0\0\0\0\0\0
Sea Breeze,xx,15,3STAR,Superior Ac Room\Executive Ac Room\Club Ac Room ,550\550\550\550\550\550\550\550\550,550\550\550\550\550\550\550\550\550,919\919\919\919\919\919\4918\919\919,919\919\919\919\919\919\2718\919\919,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3000\3500\4500\5500\0\0\0\0\0,3000\3500\4500\5500\0\0\0\0\0,3000\3500\4500\5500\0\0\0\0\0,3000\3500\4500\5500\0\0\0\0\0,3000\3500\4500\5500\0\0\0\0\0,3000\3500\4500\5500\0\0\0\0\0,3000\3500\4500\5500\0\0\0\0\0,3000\3500\4500\5500\0\0\0\0\0,3000\3500\4500\5500\0\0\0\0\0
MGM Velankanni residency,xx,36,3STAR,Deluxe Ac Room\Grandeur Ac Room\Villa,600\600\600\600\600\600\600\600\600,600\600\600\600\600\600\600\600\600,600\600\600\600\600\600\600\600\600,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3500\4000\6000\0\0\0\0\0\0,3500\4000\6000\0\0\0\0\0\0,3500\4000\6000\0\0\0\0\0\0,3500\4000\6000\0\0\0\0\0\0,4500\5000\7000\0\0\0\0\0\0,4500\5000\7000\0\0\0\0\0\0,4500\5000\7000\0\0\0\0\0\0,4500\5000\7000\0\0\0\0\0\0,4500\5000\7000\0\0\0\0\0\0
Clinton Park Inn,xx,36,2STAR,Deluxe\Deluxe Church View,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,909\909\909\909\909\909\909\909\909,909\909\909\909\909\909\909\909\909,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3300\3600\0\0\0\0\0\0\0,3300\3600\0\0\0\0\0\0\0,3300\3600\0\0\0\0\0\0\0,3300\3600\0\0\0\0\0\0\0,3300\3600\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0
VPN Residency,xx,36,2STAR,Standard\Deluxe,500\500\500\500\500\500\500\500\500,500\500\500\500\500\500\500\500\500,500\500\500\500\500\500\500\500\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1780\2515\0\0\0\0\0\0\0,1780\2515\0\0\0\0\0\0\0,1780\2515\0\0\0\0\0\0\0,1780\2515\0\0\0\0\0\0\0,1780\2515\0\0\0\0\0\0\0,1780\2515\0\0\0\0\0\0\0,1780\2515\0\0\0\0\0\0\0,1780\2515\0\0\0\0\0\0\0,1780\2515\0\0\0\0\0\0\0
Chettinadu Mansion,xx,115,3STAR,Deluxe,850\850\850\850\850\850\850\850\850,850\850\850\850\850\850\850\850\850,1800\1800\1800\1800\1800\1800\1800\1800\1800,1000\1000\1000\1000\1000\1000\1000\1000\1000,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,5100\0\0\0\0\0\0\0\0,5100\0\0\0\0\0\0\0\0,5100\0\0\0\0\0\0\0\0,5750\0\0\0\0\0\0\0\0,5750\0\0\0\0\0\0\0\0,5750\0\0\0\0\0\0\0\0,5750\0\0\0\0\0\0\0\0,5750\0\0\0\0\0\0\0\0,5750\0\0\0\0\0\0\0\0
Chettinadu Court,xx,115,3STAR,Deluxe,550\550\550\550\550\550\550\550\550,550\550\550\550\550\550\550\550\550,1300\1300\1300\1300\1300\1300\1300\1300\1300,1000\1000\1000\1000\1000\1000\1000\1000\1000,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3400\0\0\0\0\0\0\0\0,3400\0\0\0\0\0\0\0\0,3900\0\0\0\0\0\0\0\0,3900\0\0\0\0\0\0\0\0,3900\0\0\0\0\0\0\0\0,3900\0\0\0\0\0\0\0\0,3900\0\0\0\0\0\0\0\0,3900\0\0\0\0\0\0\0\0,3900\0\0\0\0\0\0\0\0
Chidambara Vilas,xx,115,3STAR,Standard,900\900\900\900\900\900\900\900\900,900\900\900\900\900\900\900\900\900,1500\1500\1500\1500\3500\1500\3500\1500\1500,1500\1500\1500\1500\3500\1500\3500\1500\1500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,7500\0\0\0\0\0\0\0\0,7500\0\0\0\0\0\0\0\0,7500\0\0\0\0\0\0\0\0,7500\0\0\0\0\0\0\0\0,7500\0\0\0\0\0\0\0\0,11500\0\0\0\0\0\0\0\0,7500\0\0\0\0\0\0\0\0,11500\0\0\0\0\0\0\0\0,7500\0\0\0\0\0\0\0\0
Visalam,xx,115,3STAR,Standard,1400\1400\1400\1400\1400\1400\1400\1400\1400,1400\1400\1400\1400\1400\1400\1400\1400\1400,2475\2475\2475\2475\2475\2475\2475\2475\2475,1500\1500\1500\1500\3500\1500\3500\1500\1500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,12225\0\0\0\0\0\0\0\0,12225\0\0\0\0\0\0\0\0,12225\0\0\0\0\0\0\0\0,12225\0\0\0\0\0\0\0\0,14175\0\0\0\0\0\0\0\0,14175\0\0\0\0\0\0\0\0,14175\0\0\0\0\0\0\0\0,26175\0\0\0\0\0\0\0\0,14175\0\0\0\0\0\0\0\0
saradharam hotel,xx,3,2STAR,Standard Ac\Deluxe Ac\Suite Ac,600\600\600\600\600\600\600\600\600,600\600\600\600\600\600\600\600\600,1000\1000\1000\1000\1750\1000\1750\1000\1000,1000\1000\1000\1000\1750\1000\1750\1000\1000,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2000\2500\3350\0\0\0\0\0\0,2000\2500\3350\0\0\0\0\0\0,2000\2500\3350\0\0\0\0\0\0,2000\2500\3350\0\0\0\0\0\0,2000\2500\3350\0\0\0\0\0\0,3500\4000\4850\0\0\0\0\0\0,2000\2500\3350\0\0\0\0\0\0,3500\4000\4850\0\0\0\0\0\0,2000\2500\3350\0\0\0\0\0\0
Lakshmi Vilas,xx,3,3STAR,Heritage\Family\Superior,600\600\600\600\600\600\600\600\600,600\600\600\600\600\600\600\600\600,1000\1000\1000\1000\1750\1000\1750\1000\1000,1000\1000\1000\1000\1750\1000\1750\1000\1000,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4000\7000\8000\0\0\0\0\0\0,4000\7000\8000\0\0\0\0\0\0,4000\7000\8000\0\0\0\0\0\0,4000\7000\8000\0\0\0\0\0\0,4000\7000\8000\0\0\0\0\0\0,5500\8500\9500\0\0\0\0\0\0,4000\7000\8000\0\0\0\0\0\0,5500\8500\9500\0\0\0\0\0\0,4000\7000\8000\0\0\0\0\0\0
Vandayar,xx,3,3STAR,Superior\Executive\Suite,450\450\450\450\450\450\450\450\450,450\450\450\450\450\450\450\450\450,600\600\600\600\600\600\600\600\600,350\350\350\350\350\350\350\350\350,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2000\2450\3300\0\0\0\0\0\0,2000\2450\3300\0\0\0\0\0\0,2000\2450\3300\0\0\0\0\0\0,2000\2450\3300\0\0\0\0\0\0,2000\2450\3300\0\0\0\0\0\0,2000\2450\3300\0\0\0\0\0\0,2000\2450\3300\0\0\0\0\0\0,2000\2450\3300\0\0\0\0\0\0,2000\2450\3300\0\0\0\0\0\0
Sparsa,xx,31,4STAR,Standard,500\500\500\500\500\500\500\500\500,500\500\500\500\500\500\500\500\500,999\999\999\999\1998\999\1998\999\999,999\999\999\999\1998\999\1998\999\999,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4700\0\0\0\0\0\0\0\0,4700\0\0\0\0\0\0\0\0,4700\0\0\0\0\0\0\0\0,4700\0\0\0\0\0\0\0\0,4700\0\0\0\0\0\0\0\0,6698\0\0\0\0\0\0\0\0,4700\0\0\0\0\0\0\0\0,7700\0\0\0\0\0\0\0\0,4700\0\0\0\0\0\0\0\0
Hotel Aparna,xx,31,3STAR,Superior Ac Room \Executive Ac Room\Junior Suite Ac Room \Suite Ac Room,350\350\350\350\350\350\350\350\350,350\350\350\350\350\350\350\350\350,972\972\972\972\972\972\972\972\972,972\972\972\972\972\972\972\972\972,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3490\4487\5484\6481\0\0\0\0\0,3490\4487\5484\6481\0\0\0\0\0,3789\4786\5484\6481\0\0\0\0\0,3789\4786\5484\6481\0\0\0\0\0,3789\4786\5484\6481\0\0\0\0\0,3789\4786\5484\6481\0\0\0\0\0,3789\4786\5484\6481\0\0\0\0\0,3789\4786\5484\6481\0\0\0\0\0,3789\4786\5484\6481\0\0\0\0\0
Aakash inn,xx,31,2STAR,Superior\Executive,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,608\608\608\608\608\608\608\608\608,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2040\2600\0\0\0\0\0\0\0,2040\2600\0\0\0\0\0\0\0,2040\2600\0\0\0\0\0\0\0,2040\2600\0\0\0\0\0\0\0,2040\2600\0\0\0\0\0\0\0,2040\2600\0\0\0\0\0\0\0,2040\2600\0\0\0\0\0\0\0,2040\2600\0\0\0\0\0\0\0,2040\2600\0\0\0\0\0\0\0
Ashreya,xx,31,2STAR,Standard\Executive,450\450\450\450\450\450\450\450\450,450\450\450\450\450\450\450\450\450,600\600\600\600\600\600\600\600\600,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1600\2100\0\0\0\0\0\0\0,1600\2100\0\0\0\0\0\0\0,1600\2100\0\0\0\0\0\0\0,1600\2100\0\0\0\0\0\0\0,1600\2100\0\0\0\0\0\0\0,1600\2100\0\0\0\0\0\0\0,1600\2100\0\0\0\0\0\0\0,1600\2100\0\0\0\0\0\0\0,1600\2100\0\0\0\0\0\0\0
GRT Regency,xx,37,3STAR,Superior,900\900\900\900\900\900\900\900\900,900\900\900\900\900\900\900\900\900,1220\1220\1220\1220\1220\1220\1220\1220\1220,450\450\450\450\450\450\450\450\450,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4400\0\0\0\0\0\0\0\0,4400\0\0\0\0\0\0\0\0,4400\0\0\0\0\0\0\0\0,4400\0\0\0\0\0\0\0\0,4400\0\0\0\0\0\0\0\0,4400\0\0\0\0\0\0\0\0,4400\0\0\0\0\0\0\0\0,4400\0\0\0\0\0\0\0\0,4400\0\0\0\0\0\0\0\0
Surabi,xx,37,2STAR,Standard\Executive\Mini Suite\Surabi Suite,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,650\650\650\650\650\650\650\650\650,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2200\2800\3280\4400\0\0\0\0\0,2200\2800\3280\4400\0\0\0\0\0,2200\2800\3280\4400\0\0\0\0\0,2200\2800\3280\4400\0\0\0\0\0,2200\2800\3280\4400\0\0\0\0\0,2200\2800\3280\4400\0\0\0\0\0,2200\2800\3280\4400\0\0\0\0\0,2200\2800\3280\4400\0\0\0\0\0,2200\2800\3280\4400\0\0\0\0\0
GRT Regency,xx,9,3STAR,Executive\Deluxe,850\850\850\850\850\850\850\850\850,850\850\850\850\850\850\850\850\850,925\925\925\925\925\925\925\925\925,425\425\425\425\425\425\425\425\425,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3038\3570\0\0\0\0\0\0\0,3038\3570\0\0\0\0\0\0\0,3038\3570\0\0\0\0\0\0\0,3038\3570\0\0\0\0\0\0\0,3038\3570\0\0\0\0\0\0\0,3038\3570\0\0\0\0\0\0\0,3038\3570\0\0\0\0\0\0\0,3038\3570\0\0\0\0\0\0\0,3038\3570\0\0\0\0\0\0\0
Hotel Pams,xx,141,2STAR,Super deluxe\Executive\Pams Suite,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,506\506\506\506\506\506\506\506\506,506\506\506\506\506\506\506\506\506,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1823\2430\4253\0\0\0\0\0\0,1823\2430\4253\0\0\0\0\0\0,1823\2430\4253\0\0\0\0\0\0,1823\2430\4253\0\0\0\0\0\0,1823\2430\4253\0\0\0\0\0\0,1823\2430\4253\0\0\0\0\0\0,1823\2430\4253\0\0\0\0\0\0,1823\2430\4253\0\0\0\0\0\0,1823\2430\4253\0\0\0\0\0\0
Quality inn Viha,xx,13,3STAR,Superior Ac Room\Executive Suite Ac Room,500\500\500\500\500\500\500\500\500,500\500\500\500\500\500\500\500\500,1000\1000\1000\1000\1000\1000\1000\1000\1000,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3800\7500\0\0\0\0\0\0\0,3800\7500\0\0\0\0\0\0\0,3800\7500\0\0\0\0\0\0\0,3800\7500\0\0\0\0\0\0\0,3800\7500\0\0\0\0\0\0\0,3800\7500\0\0\0\0\0\0\0,3800\7500\0\0\0\0\0\0\0,3800\7500\0\0\0\0\0\0\0,3800\7500\0\0\0\0\0\0\0
Sara regency,xx,13,2STAR,Standard Ac Room\Deluxe Ac Room\Executive Ac Room ,350\350\350\350\350\350\350\350\350,350\350\350\350\350\350\350\350\350,480\480\480\480\480\480\480\480\480,480\480\480\480\480\480\480\480\480,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1888\2518\3100\0\0\0\0\0\0,1888\2518\3100\0\0\0\0\0\0,1888\2518\3100\0\0\0\0\0\0,1888\2518\3100\0\0\0\0\0\0,1888\2518\3100\0\0\0\0\0\0,1888\2518\3100\0\0\0\0\0\0,1888\2518\3100\0\0\0\0\0\0,1888\2518\3100\0\0\0\0\0\0,1888\2518\3100\0\0\0\0\0\0
Hotel Vingayaga,xx,13,2STAR,Standard  ,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0\0,350\350\350\350\350\350\350\350\350,0\0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1570\0\0\0\0\0\0\0\0,1570\0\0\0\0\0\0\0\0,1570\0\0\0\0\0\0\0\0,1570\0\0\0\0\0\0\0\0,1570\0\0\0\0\0\0\0\0,1570\0\0\0\0\0\0\0\0,1570\0\0\0\0\0\0\0\0,1570\0\0\0\0\0\0\0\0,1570\0\0\0\0\0\0\0\0
Hotel Jiwan Residency,xx,23,4STAR,Deluxe\Superior\FamilyRoom\Siddha Suite\Premium Suite,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,850\850\850\850\850\850\850\850\850,400\400\400\400\400\400\400\400\400,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3280\4010\5346\6683\8019\0\0\0\0,3280\4010\5346\6683\8019\0\0\0\0,3280\4010\5346\6683\8019\0\0\0\0,3280\4010\5346\6683\8019\0\0\0\0,3280\4010\5346\6683\8019\0\0\0\0,3280\4010\5346\6683\8019\0\0\0\0,3280\4010\5346\6683\8019\0\0\0\0,3280\4010\5346\6683\8019\0\0\0\0,3280\4010\5346\6683\8019\0\0\0\0
Hotel Daiwik,xx,23,3STAR,Superior\Deluxe\Suite,450\450\450\450\450\450\450\450\450,450\450\450\450\450\450\450\450\450,1250\1250\1250\1250\1250\1250\1250\1250\1250,225\225\225\225\225\225\225\225\225,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,4050\4400\6000\0\0\0\0\0\0,4050\4400\6000\0\0\0\0\0\0,4050\4400\6000\0\0\0\0\0\0,4050\4400\6000\0\0\0\0\0\0,4300\4700\6800\0\0\0\0\0\0,4300\4700\6800\0\0\0\0\0\0,4300\4700\6800\0\0\0\0\0\0,4300\4700\6800\0\0\0\0\0\0,4300\4700\6800\0\0\0\0\0\0
Hotel Ss grand,xx,23,3STAR,Standard,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,762\762\762\762\762\762\762\762\762,300\300\300\300\300\300\300\300\300,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2500\0\0\0\0\0\0\0\0,2500\0\0\0\0\0\0\0\0,2500\0\0\0\0\0\0\0\0,2500\0\0\0\0\0\0\0\0,2500\0\0\0\0\0\0\0\0,2500\0\0\0\0\0\0\0\0,2500\0\0\0\0\0\0\0\0,2500\0\0\0\0\0\0\0\0,2500\0\0\0\0\0\0\0\0
Hotel Vinagaya,xx,23,2STAR,Standard Ac Room\Deluxe Ac Room ,300\300\300\300\300\300\300\300\300,300\300\300\300\300\300\300\300\300,700\700\700\700\700\700\700\700\700,350\350\350\350\350\350\350\350\350,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1900\2100\0\0\0\0\0\0\0,1900\2100\0\0\0\0\0\0\0,1900\2100\0\0\0\0\0\0\0,1900\2100\0\0\0\0\0\0\0,1900\2100\0\0\0\0\0\0\0,1900\2100\0\0\0\0\0\0\0,1900\2100\0\0\0\0\0\0\0,1900\2100\0\0\0\0\0\0\0,1900\2100\0\0\0\0\0\0\0
MCM Towers,xx,23,2STAR,Standard,250\250\250\250\250\250\250\250\250,250\250\250\250\250\250\250\250\250,400\400\400\400\400\400\400\400\400,200\200\200\200\200\200\200\200\200,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1670\0\0\0\0\0\0\0\0,1670\0\0\0\0\0\0\0\0,1670\0\0\0\0\0\0\0\0,1670\0\0\0\0\0\0\0\0,1670\0\0\0\0\0\0\0\0,1670\0\0\0\0\0\0\0\0,1670\0\0\0\0\0\0\0\0,1670\0\0\0\0\0\0\0\0,1670\0\0\0\0\0\0\0\0
Chitra park inn,xx,29,2STAR,Deluxe\poigai Suite,250\250\250\250\250\250\250\250\250,250\250\250\250\250\250\250\250\250,300\300\300\300\300\300\300\300\300,150\150\150\150\150\150\150\150\150,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1700\3500\0\0\0\0\0\0\0,1700\3500\0\0\0\0\0\0\0,1700\3500\0\0\0\0\0\0\0,1700\3500\0\0\0\0\0\0\0,1700\3500\0\0\0\0\0\0\0,1700\3500\0\0\0\0\0\0\0,1700\3500\0\0\0\0\0\0\0,1700\3500\0\0\0\0\0\0\0,1700\3500\0\0\0\0\0\0\0
Hotel SeaView,xx,10,3STAR,Standard\Deluxe\Suite\Twin Room,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,900\900\900\900\900\900\900\900\900,450\450\450\450\450\450\450\450\450,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2600\2900\4200\5800\0\0\0\0\0,2600\2900\4200\5800\0\0\0\0\0,2600\2900\4200\5800\0\0\0\0\0,2600\2900\4200\5800\0\0\0\0\0,3600\4300\5100\7300\0\0\0\0\0,3600\4300\5100\7300\0\0\0\0\0,3600\4300\5100\7300\0\0\0\0\0\0,3600\4300\5100\7300\0\0\0\0\0,3600\4300\5100\7300\0\0\0\0\0
Hotel Sea Face,xx,10,3STAR,Standard\Deluxe,450\450\450\450\450\450\450\450\450,450\450\450\450\450\450\450\450\450,800\800\800\800\800\800\800\800\800,800\800\800\800\800\800\800\800\800,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2000\2400\0\0\0\0\0\0\0,2000\2400\0\0\0\0\0\0\0,2000\2400\0\0\0\0\0\0\0,2000\2400\0\0\0\0\0\0\0,2800\3500\0\0\0\0\0\0\0,2800\3500\0\0\0\0\0\0\0,2800\3500\0\0\0\0\0\0\0,2800\3500\0\0\0\0\0\0\0,2800\3500\0\0\0\0\0\0\0
Hotel Sun World,xx,10,2STAR,A/c Room\Sea Facing,500\500\500\500\500\500\500\500\500,500\500\500\500\500\500\500\500\500,850\850\850\850\850\850\850\850\850,850\850\850\850\850\850\850\850\850,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1950\2450\0\0\0\0\0\0\0,1950\2450\0\0\0\0\0\0\0,1950\2450\0\0\0\0\0\0\0,1950\2450\0\0\0\0\0\0\0,3500\4000\0\0\0\0\0\0\0,3500\4000\0\0\0\0\0\0\0,3500\4000\0\0\0\0\0\0\0,3500\4000\0\0\0\0\0\0\0,1950\2450\0\0\0\0\0\0\0
Hotel Singaar International,xx,10,3STAR,Standard\Deluxe\Luxury\Super Deluxe\Suite Standard\Suite Deluxe,375\375\375\375\375\375\375\375\375,375\375\375\375\375\375\375\375\375,1075\1075\1075\1075\1075\1075\1075\1075\1075,1075\1075\1075\1075\1075\1075\1075\1075\1075,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,2750\3250\3750\4450\4750\5750\0\0\0,2750\3250\3750\4450\4750\5750\0\0\0,2750\3250\3750\4450\4750\5750\0\0\0,2750\3250\3750\4450\4750\5750\0\0\0,3250\3750\4250\4950\5250\6250\0\0\0,3250\3750\4250\4950\5250\6250\0\0\0,3250\3750\4250\4950\5250\6250\0\0\0,3250\3750\4250\4950\5250\6250\0\0\0,3250\3750\4250\4950\5250\6250\0\0\0
