Hotel_id,Hotel_name,Location,City,Category,Type,Lunch,Dinner,Child with bed,Child without bed,Flower bed,Candle light,Cake,Fruit Basket,Season1(18th March to 14th April),Season2(15th April to 30th April),Season3(01st May to 31st May),Season4 (01st Jun to 14th Jun),Season 5(15th Jun 30th Jun),Season 6(01st Jul to 31st Jul ),Season 7 (01st Aug to 15 Aug),Season 8(16th Aug to 10th Sep),Season 9(11st Sep to 30th Sep),
HOTEL5058,Elysium Garden Hill Resort,"Top Station Road, Munnar, Kerala 685612, Phone:04865 232 620",52,3STAR,Executive\Garden View Cottage,500\500\500\500\500\500\500\500\500,500\500\500\500\500\500\500\500\500,1000\1000\1000\1000\1000\1000\1000\1000\1000,700\700\700\700\700\700\700\700\700,1000\1000\1000\1000\1000\1000\1000\1000\1000,1300\1300\1300\1300\1300\1300\1300\1300\1300,500\500\500\500\500\500\500\500\500,500\500\500\500\500\500\500\500\500,3500\5000,3500\5000,3500\5000,3500\5000,3500\5000,3500\5000,3500\5000,3500\5000,3500\5000,
HOTEL5059,The Tall Trees (MAPAI),"PB No. 40, Bison Valley Road Pothamedu Viewpoint, Munnar, Kerala 685612 Phone: 04865 232 716",52,3STAR,Cinnamon Cottage\Safron Grand\Safron Suite\Safron Deluxe,1\1\1\1\1\1\1\1\1,1\1\1\1\1\1\1\1\1,2750\2750\2750\2750\2750\2750\2750\2750\2750,1900\1900\1900\1900\1900\1900\1900\1900\1900,500\500\500\500\500\500\500\500\500,1500\1500\1500\1500\1500\1500\1500\1500\1500,500\500\500\500\500\500\500\500\500,500\500\500\500\500\500\500\500\500,7500\13500\11000\20000,7500\13500\11000\20000,7500\13500\11000\20000,7500\13500\11000\20000,6500\10500\8500\16000,6500\10500\8500\16000,6500\10500\8500\16000,6500\10500\8500\16000,7500\13500\11000\20000,
HOTEL5060,Orchid highland," Chithirapuram South Power House Road, Munnar, Kerala 685565 Phone: 0484 406 4777",52,4STAR,Deluxe\Executive\Premium\Presidential Suite,600\600\600\600\600\600\600\600\600,600\600\600\600\600\600\600\600\600,1500\1500\1500\1500\1500\1500\1500\1500\1500,750\750\750\750\750\750\750\750\750,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1000\1000\1000\1000\1000\1000\1000\1000\1000,750\750\750\750\750\750\750\750\750,4250\5250\6250\11000,4250\5250\6250\11000,4250\5250\6250\11000,3500\4500\5500\7500,3500\4500\5500\7500,3500\4500\5500\7500,3500\4500\5500\7500,3500\4500\5500\7500,3500\4500\5500\7500,
HOTEL5061,Tea Country Resort,"Thattathimukku, Chithirapuram, Idukki District, Munnar, Kerala 685565 Phone: 04865 263 060",52,4STAR,Horizon View VillaNon Ac\Valley view villa Non Ac\Premium Valley View Cottage Ac\Romantic Luxury Villas Ac,700\700\700\700\700\700\700\700\700,700\700\700\700\700\700\700\700\700,1500\1500\1500\1500\1500\1500\1500\1500\1500,1000\1000\1000\1000\1000\1000\1000\1000\1000,1000\1000\1000\1000\1000\1000\1000\1000\1000,2000\2000\2000\2000\2000\2000\2000\2000\2000,850\850\850\850\850\850\850\850\850,700\700\700\700\700\700\700\700\700,5500\6000\7500\9000,5500\6000\7500\9000,5500\6000\7500\9000,4500\5000\5750\6250,4500\5000\5750\6250,4500\5000\5750\6250,4500\5000\5750\6250,4500\5000\5750\6250,4500\5000\5750\6250,
HOTEL5062,Clouds valley,"SH16, Kannan Devan Hills, Moolakadai, Munnar, Kerala 685612,Phone:04865 230 687",54,3STAR,Deluxe\Valley View,450\450\450\450\450\450\450\450\450,450\450\450\450\450\450\450\450\450,1000\1000\1000\1000\1000\1000\1000\1000\1000,750\750\750\750\750\750\750\750\750,1500\1500\1500\1500\1500\1500\1500\1500\1500,1500\1500\1500\1500\1500\1500\1500\1500\1500,1000\1000\1000\1000\1000\1000\1000\1000\1000,700\700\700\700\700\700\700\700\700,3350\3850,3350\3850,3350\3850,2300\2800,2300\2800,2300\2800,2300\2800,2300\2800,2300\2800,
HOTEL5064,Silver Tips," SH16, Munnar, Kerala 685612, Phone:04865 230 238",52,4STAR,Executive\Superior\Suite,500\500\500\500\500\500\500\500\500,500\500\500\500\500\500\500\500\500,1200\1200\1200\1200\1200\1200\1200\1200\1200,300\300\300\300\300\300\300\300\300,900\900\900\900\900\900\900\900\900,1500\1500\1500\1500\1500\1500\1500\1500\1500,350\350\350\350\350\350\350\350\350,500\500\500\500\500\500\500\500\500,4500\5500\7500,4500\5500\7500,4500\5500\7500,3500\4500\6500,3500\4500\6500,3500\4500\6500,3500\4500\6500,3500\4500\6500,3500\4500\6500,
HOTEL5065,Mountain Club,"Chinnakanal, Chinnakanal Suryanelli Rd, Munnar, Kerala 685618, Phone:094465 03100",52,4STAR,01 Bed Room Cottage \02 Bed Room Cottage ,750\750\750\750\650\650\650\650\650,750\750\750\750\650\650\650\650\650,1450\1450\1450\1450\1350\1350\1350\1350\1350,250\250\250\250\250\250\250\250\250,1500\1500\1500\1500\1500\1500\1500\1500\1500,2000\2000\2000\2000\2000\2000\2000\2000\2000,750\750\750\750\750\750\750\750\750,600\600\600\600\600\600\600\600\600,6500\9500,6500\9500,6500\9500,6500\9500,4000\7000,4000\7000,4000\7000,4000\7000,4000\7000,
HOTEL5066,Monsoon Grande," Near Chithirapuram Health Center, Chithirapuram, Munnar, Kerala 685565 Phone: 04865 263 796",52,3STAR,Grand Deluxe\Grand Suite\Exotic Honeymoon Suite,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,1000\1000\1000\800\800\800\800\800\800,800\800\800\800\800\800\800\800\800,2500\2500\2500\2500\2500\2500\2500\2500\2500,0\0\0\0\0\0\0\0\0,800\800\800\800\800\800\800\800\800,700\700\700\700\700\700\700\700\700,3500\4000\4500,3500\4000\4500,3500\4000\4500,3000\3500\4000,3000\3500\4000,3000\3500\4000,3000\3500\4000,3000\3500\4000,3000\3500\4000,
HOTEL5067,Eastend Munnar,"Temple Road, Munnar, Kerala 685612 , Phone:04865 230 451",52,3STAR,Galaxy\Super Deluxe\Premium \Suite,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,1000\1000\1000\1000\1000\1000\1000\1000\1000,600\600\600\600\600\600\600\600\600,1500\1500\1500\1500\1500\1500\1500\1500\1500,850\850\850\850\850\850\850\850\850,750\750\750\750\750\750\750\750\750,650\650\650\650\650\650\650\650\650,3200\3400\5250\6000,3200\3400\5250\6000,3200\3400\5250\6000,3750\3750\3750\5250,3750\3750\3750\5250,3750\3750\3750\5250,3750\3750\3750\5250,3750\3750\3750\5250,3750\3750\3750\5250,
HOTEL5068,Hotel Hill View,"Near Blossom Hydel Park, SH16, Moolakadai, Munnar, Kerala 685612, Phone:04865 230 567",52,3STAR,Deluxe\Super Deluxe,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,1000\1000\1000\800\800\800\800\800\800,400\500\400\400\400\400\400\400\400,700\700\700\700\700\700\700\700\700,1000\1000\1000\1000\1000\1000\1000\1000\1000,450\450\450\450\450\450\450\450\450,500\500\500\500\500\500\500\500\500,2500\3300,3200\4000,3200\4000,2300\3100,2300\3100,2300\3100,2300\3100,2300\3100,2300\3100,
HOTEL5069,Cherai Beach Resorts,"Cherai Beach - Munambam Road, Vypin Island, Kochi, Kerala 683514 Phone: 0484 248 1818",46,3STAR,Fishermen Vila\Club villa\Doctors premium Family Villa 02 Bed Room\Garden villa \Sunrise villa\Pool Villa,500\500\500\500\500\500\500\500\500,500\500\500\500\500\500\500\500\500,2000\2000\2000\2000\2000\2000\2000\2000\2000,1000\1000\1000\1000\1000\1000\1000\1000\1000,1500\1500\1500\1500\1500\1500\1500\1500\1500,1000\1000\1000\1000\1000\1000\1000\1000\1000,500\500\500\500\500\500\500\500\500,500\500\500\500\500\500\500\500\500,3800\3800\6700\4300\5200\9000,3800\3800\6700\4300\5200\9000,3800\3800\6700\4300\5200\9000,3800\3800\6700\4300\5200\9000,3800\3800\6700\4300\5200\9000,3800\3800\6700\4300\5200\9000,3800\3800\6700\4300\5200\9000,4300\4300\7600\5200\5700\11900,4300\4300\7600\5200\5700\11900,
HOTEL5070,Blu Water Cherai,"Beach Rd, Cherai, Kochi, Kerala 683514 Phone: 0484 241 8000",46,3STAR,Superior\Deluxe\Suite,650\650\650\650\650\650\650\650\650,650\650\650\650\650\650\650\650\650,900\900\900\900\900\900\900\900\900,500\500\500\500\500\500\500\500\500,1200\1200\1200\1200\1200\1200\1200\1200\1200,1200\1200\1200\1200\1200\1200\1200\1200\1200,600\600\600\600\600\600\600\600\600,500\500\500\500\500\500\500\500\500,3300\3800\5500,3300\3800\5500,3300\3800\5500,3300\3800\5500,3300\3800\5500,3300\3800\5500,3300\3800\5500,3300\3800\5500,3300\3800\5500,
HOTEL5071,The marai beach,"Marari Beach, Mararikulam-North, Alappuzha, Kerala 688549",83,5STAR,Garden Villa\Garden pool villa\Deluxe pool villa,750\750\750\750\750\750\750\750\750,750\750\750\750\750\750\750\750\750,1500\1500\1500\1500\1500\1500\1500\1500\1500,1000\1000\1000\1000\1000\1000\1000\1000\1000,500\500\500\500\500\500\500\500\500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,8000\12000\17000,8000\12000\17000,8000\12000\17000,8000\12000\17000,8000\12000\17000,8000\12000\17000,8000\12000\17000,8000\12000\17000,8000\12000\17000,
HOTEL5072,Abad Turtle Beach," Varankavala, Pollathai, Mararikulam, Alappuzha, Kerala 688567 Phone: 0478 286 0965 ",83,4STAR,Beach Cottage\Beach Villa,600\600\600\600\600\600\600\600\600,600\600\600\600\600\600\600\600\600,1000\1000\1000\1000\1000\1000\1000\1000\1000,250\250\250\250\250\250\250\250\250,1000\1000\1000\1000\1000\1000\1000\1000\1000,850\850\850\850\850\850\850\850\850,750\750\750\750\750\750\750\750\750,500\500\500\500\500\500\500\500\500,4500\5500,4500\5500,4500\5500,4500\5500,4500\5500,4500\5500,4500\5500,4500\5500,4500\5500,
HOTEL5074,Chandy Windy woods,"Meencut, Chittirapuram P.O., Dist Idukki, Chithirapuram Powerhouse Road, Munnar, Kerala 685565, Phone:04865 263 450",52,5STAR,Deluxe\Super Deluxe\Suite\Presidential Suite,900\900\900\900\900\900\900\900\900,900\900\900\900\900\900\900\900\900,2000\2000\2000\2000\2000\2000\2000\2000\2000,1000\1000\1000\1000\1000\1000\1000\1000\1000,1750\1750\1750\1750\1750\1750\1750\1750\1750,2000\2000\2000\2000\2000\2000\2000\2000\2000,1500\1500\1500\1500\1500\1500\1500\1500\1500,1000\1000\1000\1000\1000\1000\1000\1000\1000,6900\8900\10600\13600,6900\8900\10600\13600,6900\8900\10600\13600,6900\8900\10600\13600,6900\8900\10600\13600,6900\8900\10600\13600,6900\8900\10600\13600,6900\8900\10600\13600,6900\8900\10600\13600,
HOTEL5075,Misty Lake Resort,"Sengulam, Munnar, Kerala 685565 Phone: 0484 699 9996",52,3STAR,Misty valley view\Misty Honey Moon Cottage,500\500\500\500\500\500\500\500\500,500\500\500\500\500\500\500\500\500,750\750\750\750\750\750\750\750\750,500\500\500\500\500\500\500\500\500,750\750\750\750\750\750\750\750\750,1500\1500\1500\1500\1500\1500\1500\1500\1500,750\750\750\750\750\750\750\750\750,600\600\600\600\600\600\600\600\600,3300\4000,3300\4000,3300\4000,2300\2800,2300\2800,2300\2800,2300\2800,2300\2800,2300\2800,
HOTEL5076,Hotel C7,"Tea Museum Road, Nullatanni, Munnar, Kerala 685612, Phone:04865 230 217",52,2STAR,Deluxe\Galaxy Garden View\Club Suite,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,900\900\900\700\700\700\700\700\700,400\400\400\400\400\400\400\400\400,750\750\750\750\750\750\750\750\750,0\0\0\0\0\0\0\0\0,300\300\300\300\300\300\300\300\300,250\250\250\250\250\250\250\250\250,3200\3500\4000,3200\3500\4000,3200\3500\4000,2000\2300\3200,2000\2300\3200,2000\2300\3200,2000\2300\3200,2000\2300\3200,2000\2300\3200,
HOTEL5078,Archana Residency,"M.S.A Road, Dist Idduki, Near High Range Club, Munnar, Kerala 685612  Phone: 04865 230 286",52,3STAR,Executive\Riverview\Galaxy,400\400\400\400\400\400\400\400\400,400\400\400\400\400\400\400\400\400,750\750\750\600\600\600\600\600\600,500\500\500\400\400\400\400\400\400,600\600\600\600\600\600\600\600\600,1000\1000\1000\1000\1000\1000\1000\1000\1000,250\250\250\250\250\250\250\250\250,300\300\300\300\300\300\300\300\300,2400\2800\3200,2400\2800\3200,2400\2800\3200,1800\2100\2800,1800\2100\2800,1800\2100\2800,1800\2100\2800,1800\2100\2800,1800\2100\2800,
HOTEL5079,Bellmount Resort," NH Road, Central Munnar,, Kerala 685612, Phone:094955 41212",52,2STAR,Deluxe\Super Deluxe\Galaxy,350\350\350\400\400\400\400\400\400,350\350\350\400\400\400\400\400\400,600\600\600\600\600\600\600\600\600,400\400\400\400\400\400\400\400\400,750\750\750\750\750\750\750\750\750,750\750\750\750\750\750\750\750\750,350\350\350\350\350\350\350\350\350,,2200\2700\3200,2200\2700\3200,2200\2700\3200,1700\2200\2700,1700\2200\2700,1700\2200\2700,1700\2200\2700,1700\2200\2700,1700\2200\2700,
HOTEL5080,Blooms Greenland Residency,"National Highway 49, Near Penstock Pipeline, Pallivasal, Munnar, Kerala 685565 ",52,2STAR,Standard\Deluxe\Family Room,300\300\300\300\300\300\300\300\300,300\300\300\300\300\300\300\300\300,500\500\500\500\500\500\500\500\500,300\300\300\300\300\300\300\300\300,600\600\600\600\600\600\600\600\600,1000\1000\1000\1000\1000\1000\1000\1000\1000,350\350\350\350\350\350\350\350\350,350\350\350\350\350\350\350\350\350,2000\2300\3200,2000\2300\3200,2000\2300\3200,1600\1800\2800,1600\1800\2800,1600\1800\2800,1600\1800\2800,1600\1800\2800,1600\1800\2800,
HOTEL5081,T&U Leisure Hotel," Mattupetty Road, Near Marthoma Retreat Center, Munnar, Kerala 685612,Phone:04865 233 081",52,4STAR,Deluxe\Premium\Suite\ Honeymoon Suite,500\500\500\500\500\500\500\500\500,500\500\500\500\500\500\500\500\500,1100\1100\1100\1100\1100\1100\1100\1100\1100,700\700\700\700\700\700\700\700\700,1000\1000\1000\1000\1000\1000\1000\1000\1000,1500\1500\1500\1500\1500\1500\1500\1500\1500,500\500\500\500\500\500\500\500\500,500\500\500\500\500\500\500\500\500,3750\4250\6500\9500,4250\4750\7500\9500,4250\4750\7500\9500,4250\4750\7500\9500,4250\4750\7500\9500,3500\4000\7500\9500,3500\4000\7500\9500,3500\4000\7500\9500,3500\4000\7500\9500,
HOTEL5085,Sopanam Heritage,"East Nada, Guruvayoor, Thrissur, Kerala 680101 Phone: 0487 255 5488",55,4STAR,Duke\Regal\Suite,350\350\350\350\350\350\350\350\350,350\350\350\350\350\350\350\350\350,830\830\830\830\830\830\830\830\830,450\450\450\450\450\450\450\450\450,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,750\750\750\750\750\750\750\750\750,500\500\500\500\500\500\500\500\500,2582\2769\3229,2582\2769\3229,2582\2769\3229,2582\2769\3229,2582\2769\3229,2582\2769\3229,2582\2769\3229,2582\2769\3229,2582\2769\3229,
HOTEL5089,Lake Palace Resort," Thirumala Ward, Chungam, Alappuzha, Kerala 688011Phone: 0477 223 9701",44,4STAR,Kerala Cottage\Lake View Deluxe\Water Villa \Lake View Premium,950\950\950\950\950\950\950\950\950,950\950\950\950\950\950\950\950\950,1500\1500\1500\1500\1500\1500\1500\1500\1500,500\500\500\500\500\500\500\500\500,1500\1500\1500\1500\1500\1500\1500\1500\1500,2000\2000\2000\2000\2000\2000\2000\2000\2000,650\650\650\650\650\650\650\650\650,600\600\600\600\600\600\600\600\600,5500\6000\6500\9500,5500\6000\6500\9500,5500\6000\6500\9500,5500\6000\6500\9500,5500\6000\6500\9500,5500\6000\6500\9500,5500\6000\6500\9500,5500\6000\6500\9500,5500\6000\6500\9500,
HOTEL5090,Lake palace House boat,"Thirumala Ward, Chungam, Alappuzha, Kerala 688011 Phone: 0477 223 9701",44,House Boat,Ranjani 01 Bed Room\Ranjani 02 Bed Room,1\1\1\1\1\1\1\1\1,1\1\1\1\1\1\1\1\1,3500\3500\3500\3500\3500\3500\3500\3500\3500,1000\1000\1000\1000\1000\1000\1000\1000\1000,1500\1500\1500\1500\1500\1500\1500\1500\1500,2000\2000\2000\2000\2000\2000\2000\2000\2000,650\650\650\650\650\650\650\650\650,600\600\600\600\600\600\600\600\600,16500\21500,16500\21500,16500\21500,16500\21500,16500\21500,16500\21500,16500\21500,16500\21500,16500\21500,
