Hotel ID,Hotel_name,Location,City,Category,Type,Lunch,Dinner,Child with bed,Child without bed,Flower bed,Candle light,Cake,Fruit Basket,Season1(05th Nov to 20th Nov),Season2(01st Oct to 10th Dec),Season3(11th Dec  to 20th Dec),Season4 (21th Dec to 23rd Dec),Season 5(24th Dec ),Season 6(25th Dec to 30th Dec ),Season 7 (31st Dec ),Season 8(01st Jan to 10th Jan),Season 9(11th Jan to 31st Mar),Website
HOTEL4752,Laspalms Munnar,"NH 49, Devikulam P. O, Munnar, Idukki, Munnar, Keral",52,2* ,Standard,350\350\350\350\350\350\350\350\350,350\350\350\350\350\350\350\350\350,600\600\600\600\600\600\600\600\600,300\300\300\300\300\300\300\300\300,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\1,2500\0\0\0\0\0\0\0\0,2500\0\0\0\0\0\0\0\0,2500\0\0\0\0\0\0\0\0,3000\0\0\0\0\0\0\0\0,3000\0\0\0\0\0\0\0\0,3000\0\0\0\0\0\0\0\0,3000\0\0\0\0\0\0\0\0,3000\0\0\0\0\0\0\0\0,2500\0\0\0\0\0\0\0\0,www.sealordhotels.com
HOTEL4753,Whispering Meadows," 2nd Mile, Pallivasal Post Office, Munnar, Kerala, Phone:0484 236 4480",52,2* ,Garden Cottage\Deluxe Cottage\Superior Cottage,450\450\450\450\450\450\450\450\450,450\450\450\450\1\450\1\450\450,650\650\900\900\2400\900\2900\900\650,500\500\500\500\1250\500\1500\500\250,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\1,3200\3500\3800\0\0\0\0\0\0,2700\3000\3300\0\0\0\0\0\0,2700\3000\3300\0\0\0\0\0\0,3700\4000\4300\0\0\0\0\0\0,6700\7000\7300\0\0\0\0\0\0,3700\4000\4300\0\0\0\0\0\0,7700\8000\8300\0\0\0\0\0\0,3700\4000\4300\0\0\0\0\0\0,2700\3000\3300\0\0\0\0\0\0,thewhisperingmeadows.com
HOTEL4754,Rose Dale - Home Stay,"Attukad water falls road, Pallivasal Munnar, Phone: +91 9961205647, 9562772089",52,2* ,01 Bed Room\02 Bed Room\03 Bed Room,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,500\500\500\500\500\500\1000\500\500,200\200\200\200\200\200\450\200\200,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\1,2500\3500\5000\0\0\0\0\0\0,1800\3000\4500\0\0\0\0\0\0,1800\3000\4500\0\0\0\0\0\0,2500\3500\5000\0\0\0\0\0\0,2500\3500\5000\0\0\0\0\0\0,2500\3500\5000\0\0\0\0\0\0,3500\4500\6000\0\0\0\0\0\0,2500\3500\5000\0\0\0\0\0\0,1800\3000\4500\0\0\0\0\0\0,www.rosedalehotels.com
HOTEL4755,Panoramic Gateway,"Chithirapuram, Anachal Munnar Road, Idukki Dist, Munnar, Kerala, Pincode - 685565. Ph.No:082818 88777",52,5*,Deluxe\Family Suite\ Executive Suite\ Panoramic Suite\ Pavilion Suite,900\900\900\900\900\900\900\900\900,900\900\900\900\1\900\1\900\900,1500\1500\1500\1500\4500\1500\4500\1500\1500,600\600\600\600\1600\600\1600\600\600,2000\2000\2000\2000\2000\2000\2000\2000\2000,2500\2500\2500\2500\2500\2500\2500\2500\2500,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\1,10080\16320\16800\22560\37920,10080\16320\16800\22560\37920,10080\16320\16800\22560\37920,10080\16320\16800\22560\37920,16080\22320\22800\28560\43920,10080\16320\16800\22560\37920,16080\22320\22800\28560\43920,10080\16320\16800\22560\37920,10080\16320\16800\22560\37920,www.panoramicgateway.com
HOTEL4756,The Fog Resort,"Eatty City Road, Chitirapuram, Munnar - 685 565, Ph. No: 04865 - 263 - 810",52,4*,Premium Valley View\ Honeymoon Romantica\ Villa Suite (2B/R)\ Fog Villa (2 B/R),650\650\650\650\650\650\650\650\650,650\650\650\650\1\650\1\650\650,1500\1500\1500\1500\3000\1500\3500\1500\1500,750\750\750\750\2250\750\2750\750\750,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,5000\5800\10500\12000\0\0\0\0\0,5000\5800\10500\12000\0\0\0\0\0,5000\5800\10500\12000\0\0\0\0\0,6000\6800\11500\13000\0\0\0\0\0,9000\9800\14500\16000\0\0\0\0\0,6000\6800\11500\13000\0\0\0\0\0,10000\10800\15500\17000\0\0\0\0\0,6000\6800\11500\13000\0\0\0\0\0,5000\5800\10500\12000\0\0\0\0\0,www.thefogmunnar.com
HOTEL4757,Rivulet Resort,"Pallivasal Power House, Chithirapuram, Munnar - 685 565, Ph. No: 085900 -  12200",52,3*,Deluxe\Royal Suite\ Honeymoon Suite,600\600\600\600\600\600\600\600\600,600\600\600\600\600\600\600\600\600,1000\1000\1000\1000\1000\1000\1000\1000\1000,200\200\200\200\200\200\200\200\200,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,3950\4900\5500\0\0\0\0\0\0,3950\4900\5500\0\0\0\0\0\0,3950\4900\5500\0\0\0\0\0\0,4700\5600\6300\0\0\0\0\0\0\0,4700\5600\6300\0\0\0\0\0\0\0,4700\5600\6300\0\0\0\0\0\0\0,4700\5600\6300\0\0\0\0\0\0\0,4700\5600\6300\0\0\0\0\0\0\0,3950\4900\5500\0\0\0\0\0\0,www.rivuletresort.com
HOTEL4759,Igloo Resort," Power House Road, Chithirapuram, Munnar - 685 565, Ph. No:0 - 97457-67485",52,3*,Executive\ Family Cootage (2B/R),350\350\350\350\350\350\350\350\350,350\350\350\350\350\350\350\350\350,750\750\750\750\750\750\750\750\750,350\350\350\350\350\350\350\350\350,600\600\600\600\600\600\600\600\600,950\950\950\950\950\950\950\950\950,250\250\250\250\250\250\250\250\250,0\0\0\0\0\0\0\0\0,2400\3750\0\0\0\0\0\0\0,2400\3750\0\0\0\0\0\0\0,2400\3750\0\0\0\0\0\0\0,2900\4250\0\0\0\0\0\0\0,2900\4250\0\0\0\0\0\0\0,2900\4250\0\0\0\0\0\0\0,2900\4250\0\0\0\0\0\0\0,2900\4250\0\0\0\0\0\0\0,2400\3750\0\0\0\0\0\0\0,www.igloomunnar.in
HOTEL4760,Archana Residency,"M.S.A Road, Idukki Dist, Near High Range Club, Munnar - 685 612, Ph. No: 04865 - 230 - 286 ",52,2*,Executive \ Riverview\ Galaxy,750\750\750\1000\1000\1000\1000\750\750,250\250\250\250\250\250\250\250\250,1000\1000\1000\1000\1000\1000\1000\1000\1000,500\500\500\500\500\500\500\500\500,500\500\500\500\500\500\500\500\500,1000\1000\1000\1000\1000\1000\1000\1000\1000,250\250\250\250\250\250\250\250\250,0\0\0\0\0\0\0\0\0,2250\2750\3250\0\0\0\0\0\0,2250\2750\3250\0\0\0\0\0\0,2250\2750\3250\0\0\0\0\0\0,3250\3750\4250\0\0\0\0\0\0,3250\3750\4250\0\0\0\0\0\0,3250\3750\4250\0\0\0\0\0\0,3250\3750\4250\0\0\0\0\0\0,2250\2750\3250\0\0\0\0\0\0,2250\2750\3250\0\0\0\0\0\0,www.archanaresidency.com
HOTEL4761,Nest Resort,"Munnar - Anachal Road,Chithirapuram, Munnar - 685 565, Ph. No:0 4865 - 263 - 204 ",52,2*,Deluxe\Suite,250\250\250\250\250\250\250\250\250,250\250\250\250\250\250\250\250\250,300\300\300\500\500\500\500\500\300,250\250\250\250\250\250\250\250\250,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,1100\1200\0\0\0\0\0\0\0,1100\1200\0\0\0\0\0\0\0,1100\1200\0\0\0\0\0\0\0,1350\1450\0\0\0\0\0\0\0,1350\1450\0\0\0\0\0\0\0,1350\1450\0\0\0\0\0\0\0,1350\1450\0\0\0\0\0\0\0,1350\1450\0\0\0\0\0\0\0,1100\1200\0\0\0\0\0\0\0,www.munnarnestresort.com
HOTEL4762,Elephant Court,"Thekkady P.O,, Thekkady, Idukki, Kerala 685536, Phone:04869 224 697",54,5*,Executive\Family Enclave\Patio\Garden Suite\Honeymoon Suite\Pool Suite,900\900\900\900\900\900\900\900\900,650\900\900\900\1\900\1\900\900,1500\2000\2000\2000\4000\2000\6000\2000\2000,250\250\250\250\1250\250\2250\250\250,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,7800\7900\8000\15000\16500\26500\0\0\0,6300\6400\6500\13500\15000\25000\0\0\0,6300\6400\6500\13500\15000\25000\0\0\0,9300\9400\9500\16500\18000\28000\0\0\0,13300\13400\13500\20500\22000\32000\0\0\0,9300\9400\9500\16500\18000\28000\0\0\0,17300\17400\17500\24500\26000\36000\0\0\0,9300\9400\9500\16500\18000\28000\0\0\0,6300\6400\6500\13500\15000\25000\0\0\0,www.theelephantcourt.com
HOTEL4763,Poetree Sarovar Portico,"Ottakathalamedu, Amaravathy P.O.,Thekkady, Kumily, Kerala 685509, Phone:086069 98448",54,4* ,Club Room\Oval Escape\Circle of Solitude\Poetree Reserva\Prive Presidential Suite,500\500\500\500\500\500\500\500\500,500\500\500\500\1\500\1\500\500,1500\1500\1500\1500\3500\1500\4500\1500\1500,600\600\600\600\1600\600\2100\600\600,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,0\0\0\0\0\0\0\0\0,5800\7900\7900\17000\22000\0\0\0\0,5800\7900\7900\17000\22000\0\0\0\0,5800\7900\7900\17000\22000\0\0\0\0,7300\9400\9400\17000\22000\0\0\0\0,11300\13400\13400\21000\26000\0\0\0\0,7300\9400\9400\17000\22000\0\0\0\0,13300\15400\15400\23000\28000\0\0\0\0,7300\9400\9400\17000\22000\0\0\0\0,5800\7900\7900\17000\22000\0\0\0\0,www.sarovarhotels.com
