Spot_name,City Code,Timings,Video link
Prakasam Barrage,81,10.00 AM - 05.00 PM,
Undavalli Caves,81,09.00 AM - 06.00 PM,
Kuchipudi,81,09.00 AM - 08.00 PM,
St. Mary's Church,81,07.00 AM - 08.00 PM,
Rajiv Gandhi Park,81,Monday - Friday=> (02.00 PM -09.00 PM)/ Saturday & Sunday = > (02.00 PM - 11.00PM),
Victoria Museum,81,10.30 AM - 05.00 PM/ Friday & Public holidays will be closed,
Gandhi Hill,81,04.00 PM - 08.30 PM & Tuesday will be closed,
Mohalarajapuram Caves,81,09.00 AM - 06.00 PM,
Hazratbal Mosque,81,07.00 AM - 08.00 PM,
Kondapalli Fort,81,09.00 AM - 06.00 PM,
Mangalagiri,81,07.00 AM - 03.00 PM & 05.00 PM - 08.30 PM,
Araku Valley,82,09.00 AM - 06.00 PM,
Borra Caves,82,10.00 AM - 05.30 PM,
Kailasagiri Hill,82,06.00 AM - 07.30 PM,
Ramakrishna Beach,82,07.00 AM - 08.00 PM,
Submaraine Museum,82,10.00 AM - 05.00 PM,
Dolphine Nose & The port in Vizag,82,07.00 AM - 07.00 PM,
Tyda,82,09.00 AM - 08.00 PM,
Rusikonda,82,07.00 AM - 08.00 PM,
Lawson's Bay,82,07.00 AM - 08.00 PM,
VUDA Park,82,09.00 AM - 08.00 PM,
Indira Gandhi Zoological Park,82,09.00 AM - 05.00 PM,
Simhachalam,82,07.00 AM - 04.00 PM & 06.00 PM - 09.00 PM,
Bheemunipattinam,82,07.00 AM - 08.00 PM,
Charminar,41,09.30 AM - 05.30 PM,
Qutub Shahi Tombs,41,09.30 AM - 06.30 PM/ Friday will be holiday,
Salar Jung Museum,41,10.00 AM - 05.00 PM / Friday Holiday,
Mecca Masjid,41,04.00 AM - 09.30 PM,
Laad Baazar,41,07.00 AM - 10.00 PM,
Golconda Fort,41,09.00 AM - 05.30 PM,
Taramati Baradari,41,11.00 AM - 06.00 PM,
Birla Mandir,41,07.00 AM - 12.00 PM & 02.00 PM - 09.00 PM,
Birla Planetarium,41,10.30 AM - 08.00 PM,
Hitec City,41,07.00 AM - 10.00 PM,
Ramoji Film City ,41,09.00 AM - 05.30 PM,
State Archaeological Museum,41,10.30 AM - 05.00 PM / Friday will be closed,
Public Gardens,41,09.00 AM - 08.00 PM,
Nehru Zoological Park,41,April to June (08.00 AM - 05.30 PM ) & July - March (08.30 AM - 05.00 PM),
Mir Alam Tank,41,07.00 AM - 05.00 PM,
Shilparamam (Arts & Crafts Village),41,10.30 AM - 08.30 PM,
Hussainsagar Lake,41,08.00 AM - 10.00 PM,
The Nizam’s Silver Jubilee Museum,41,10.00 AM - 05.00 PM/ Friday will be closed,
Chowmohalla Palace,41,10.00 AM - 05.00 PM/ Friday will be closed,
Durgam Cheruvu,41,09.00 AM - 08.30 PM,
Osmansagar Lake,41,07.00 AM - 07.00 PM,
Warangal Fort,42,09.00 AM - 08.00 PM,
